"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 2 курс",column_1,column_2
Дни,Часы,Б-ЛД-201 с 09.02.26
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,
,10.10-11.40,"пр.з. правоведение
Кулагина О.В. 248"
,12.00-13.30,"пр.з. общая физическая подготовка
Тарасов В.А. сок"
,13.40-15.10,лек. ОХОТНИЧИЙ ТУРИЗМ доц. Есков Д. В. ГЛ-2
,,пр.з. охотничий туризм Филиппов П.Б. ГЛ-2
,15.20-16.50,
,17.00-18.30,
"к
и
н
р
о
т
В",8.30-10.00,лек. ПРАВОВЕДЕНИЕ доц. Кулагина О.В. 248
,,
,10.10-11.40,лек. СЕЛЬСКОХОЗЯЙСТВЕННОЕ ИСПОЛЬЗОВАНИЕ ЛЕСНЫХ ЗЕМЕЛЬ проф. Проездов П.Н. ГЛ-4
,,лаб.з. сельскохозяйственное использование лесных земель Проездов П.Н. ГЛ-4
,12.00-13.30,"лаб.з. лесоводство
Коржавин В.Е. ГЛ-4"
,13.40-15.10,
,,лек. ЛЕСОВОДСТВО проф. Маштаков Д.А. ГЛ-4
,15.20-16.50,
,17.00-18.30,
"а
д
е
р
С",8.30-10.00,
,10.10-11.40,"пр.з. приборы и инструменты лесотаксационных измерений
Самсонов Е.В. ГЛ-4"
,12.00-13.30,лек. ПРИБОРЫ И ИНСТРУМЕНТЫ ЛЕСОТАКСАЦИОННЫХ ИЗМЕРЕНИЙ доц. Самсонов Е.В. ГЛ-4
,,лек. СОЦИОЛОГИЯ проф. Дудникова Е.Б. 249
,13.40-15.10,пр.з. технология добычи охотничьих зверей и птиц Самсонов Е.В. ГЛ-4
,,пр.з. социология Дудникова Е.Б. 407
,15.20-16.50,
,17.00-18.30,
"г
р
е
в
т
е
Ч",8.30-10.00,
,10.10-11.40,
,12.00-13.30,"лек. ТЕХНОЛОГИЯ ДОБЫЧИ ОХОТНИЧЬИХ ЗВЕРЕЙ И ПТИЦ
доц. Самсонов Е.В. ГЛ-2"
,13.40-15.10,"лек. ТАКСАЦИЯ ЛЕСА
доц. Самсонов Е.В. ГЛ-2"
,15.20-16.50,"лаб.з. таксация леса
Самсонов Е.В. ГЛ-2"
,17.00-18.30,
"а
ц
и
н
т
я
П",8.30-10.00,
,10.10-11.40,
,,лаб.з. лесная фитопатология Лялина Е.В. ук 1 511
,12.00-13.30,лек. ЛЕСНАЯ ФИТОПАТОЛОГИЯ доц. Лялина Е.В. ук 1 511
,,лек. ЛЕСНАЯ ЭНТОМОЛОГИЯ проф. Дубровин В.В. ук 1 424
,13.40-15.10,лаб.з. лесная энтомология Дубровин В.В. ук 1 424
,,
,15.20-16.50,
,17.00-18.30,
"а
т
о
б",8.30-10.00,
,10.10-11.40,
"б
у
С",12.00-13.30,
,13.40-15.10,
