"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 3 курс",column_1,column_2
Дни,Часы,Б-ТБ-301 с 26.01.26
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,
,10.10-11.40,"лек. ПРОИЗВОДСТВЕННАЯ И ПОЖАРНАЯ АВТОМАТИКА
доц. Горюнов Д.Г. 217"
,12.00-13.30,"пр.з. управление техносферной безопасностью
Надежкина Г.П. 217"
,13.40-15.10,лек. УПРАВЛЕНИЕ ТЕХНОСФЕРНОЙ БЕЗОПАСНОСТЬЮ доц. Надежкина Г.П. 217
,,лек. ПРОЕКТИРОВАНИЕ РАБОЧИХ МЕСТ НА ПРЕДПРИЯТИИ доц. Надежкина Г.П. 217
,15.20-16.50,
,17.00-18.30,
"к
и
н
р
о
т
В",8.30-10.00,
,10.10-11.40,"лаб.з. пожарная техника и основы тушения пожара
Кириченко А.В. 208"
,12.00-13.30,"пр.з. производственная и пожарная автоматика
Курин В.И. 208"
,13.40-15.10,"пр.з. общая физическая подготовка
Нефедова Ю.В. сок"
,15.20-16.50,
,17.00-18.30,
"а
д
е
р
С",8.30-10.00,
,10.10-11.40,"лб.з. безопасная эксплуатация электроустановок
Моисеев А.П. 303"
,12.00-13.30,лб.з. производственная и пожарная автоматика Горюнов Д.Г. 217
,,лек.БЕЗОПАСНАЯ ЭКСПЛУАТАЦИЯ ЭЛЕКТРОУСТАНОВОК доц. Моисеев А.П. 304
,13.40-15.10,пр.з. общая физическая подготовка Нефедова Ю.В.сок до 25.04.26
,,лек. АВТОМАТИЗИРОВАННЫЕ СИСТЕМЫ УПРАВЛЕНИЯ И СВЯЗЬ В ПОЖАРНОЙ БЕЗОПАСНОСТИ доц. Анисимов С.А. 217
,15.20-16.50,
,17.00-18.30,
"г
р
е
в
т
е
Ч",8.30-10.00,
,10.10-11.40,"лек. ЗДАНИЯ, СООРУЖЕНИЯ И ИХ УСТОЙЧИВОСТЬ ПРИ ПОЖАРЕ доц. Орлова С.С. 501а"
,,лек. ПРОТИВОПОЖАРНОЕ ВОДОСНАБЖЕНИЕ доц. Миркина Е.Н. ГЛ-5
,12.00-13.30,пр.з. противопожарное водоснабжение Миркина Е.Н. ГЛ-5
,,лаб.з. противопожарное водоснабжение Миркина Е.Н. ГЛ-5
,13.40-15.10,"пр.з. проектирование рабочих мест на предприятии
Марынова Т.А. 206"
,15.20-16.50,
,17.00-18.30,
"а
ц
и
н
т
я
П",8.30-10.00,
,10.10-11.40,"пр.з. здания, сооружения и их устойчивость при пожаре
Орлова С.С. 501а"
,12.00-13.30,"пр.з. автоматизированные системы управления и связь в пожарной безопасности
Анисимов С.А. Курин В.И. 217"
,13.40-15.10,"лек. ПОЖАРНАЯ ТЕХНИКА И ОСНОВЫ ТУШЕНИЯ ПОЖАРА
проф. Панкин К.Е. 217"
,15.20-16.50,
,17.00-18.30,
"а
т
о
б",8.30-10.00,
,10.10-11.40,
"б
у
С",12.00-13.30,
,13.40-15.10,
