column_0,column_1,column_2,column_3
,,,
"Расписание занятий на 2 семестр 2025-2026 учебного года
институт генетики и агрономии 2 курс
а и",,,
"т
а
Д","н
Д",Часы,М-А-21
"а
т
р
а
м
6
1","к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,"пр.з. АПРОБАЦИЯ РЕЗУЛЬТАТОВ НАУЧНЫХ ИССЛЕДОВАНИЙ
доц. Беляева А.А. 702"
,,15.20-16.50,"лек. ЭКОЛОГИЧЕСКОЕ ЗЕМЛЕДЕЛИЕ
проф. Солодовников А.П. 603"
,,17.00-18.30,"пр. з. Управление проектами
проф. Колотырин К. П. ауд. 316"
,,18.40-20.10,"пр. з. Управление проектами
проф. Колотырин К. П. ауд. 316"
"а
т
р
а
м
7
1","к
и
н
р
о
т
В",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,"пр.з. АПРОБАЦИЯ РЕЗУЛЬТАТОВ НАУЧНЫХ ИССЛЕДОВАНИЙ
доц. Беляева А.А. 713"
,,13.40-15.10,"пр.з. АПРОБАЦИЯ РЕЗУЛЬТАТОВ НАУЧНЫХ ИССЛЕДОВАНИЙ
доц. Беляева А.А. 713"
,,15.20-16.50,"пр. з. Управление проектами
проф. Колотырин К. П. ауд. 317"
,,17.00-18.30,"пр. з. Управление проектами
проф. Колотырин К. П. ауд. 317"
,,18.40-20.10,
"а
т
р
а
м
8
1","а
д
е
р
С",8.30-10.00,"лек. АПРОБАЦИЯ РЕЗУЛЬТАТОВ НАУЧНЫХ ИССЛЕДОВАНИЙ
доц. Ткаченко О. В. ауд. 903"
,,10.10-11.40,"лек. АПРОБАЦИЯ РЕЗУЛЬТАТОВ НАУЧНЫХ ИССЛЕДОВАНИЙ
доц. Ткаченко О. В. ауд. 903"
,,12.00-13.30,"пр.з. АПРОБАЦИЯ РЕЗУЛЬТАТОВ НАУЧНЫХ ИССЛЕДОВАНИЙ
доц. Беляева А.А. 708"
,,13.40-15.10,"пр. з. Инновационные технологии в земледелии с использованием современной с/х техники
асс. Сугробов А. Ф. ауд. 133"
,,15.20-16.50,
,,17.00-18.30,
,,18.40-20.10,
"а
т
р
а
м
9
1","г
р
е
в
т
е
Ч",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,"пр. з. Инновационные технологии в земледелии с использованием современной с/х техники
асс. Сугробов А. Ф. ауд. 133"
,,13.40-15.10,"пр. з. Инновационные технологии в земледелии с использованием современной с/х техники
асс. Сугробов А. Ф. ауд. 133"
,,15.20-16.50,"лек. ЭКОЛОГИЧЕСКОЕ ЗЕМЛЕДЕЛИЕ
проф. Солодовников А.П. 603"
,,17.00-18.30,"пр. з. Биологические основы орошения
проф. Солодовников А. П. ауд. 603"
,,18.40-20.10,
"а
т
р
а
м
0
2","а
ц
и
н
т
я
П",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,"пр. з. Биологические основы орошения
проф. Солодовников А. П. ауд. 603"
,,15.20-16.50,"пр. з. Биологические основы орошения
проф. Солодовников А. П. ауд. 603"
,,17.00-18.30,"пр.з. Экологические аспекты применения орошения
проф. Солодовников А. П. ауд. 603"
,,18.40-20.10,"пр.з. Экологические аспекты применения орошения
проф. Солодовников А. П. ауд. 603"
"а
т
р
а
м
1
2","а
т
о
б
б
у
С",8.30-10.00,
,,10.10-11.40,"пр.з. ЭКОЛОГИЧЕСКОЕ ЗЕМЛЕДЕЛИЕ
проф. Солодовников А.П. 603"
,,12.00-13.30,"пр.з. ЭКОЛОГИЧЕСКОЕ ЗЕМЛЕДЕЛИЕ
проф. Солодовников А.П. 603"
,,13.40-15.10,"пр. з. Агрометеорологические прогнозы
проф. Солодовников А. П. ауд. 603"
,,15.20-16.50,"пр. з. Агрометеорологические прогнозы
проф. Солодовников А. П. ауд. 603"
,,,
