"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт биотехнологии 3 курс",column_1,column_2
Дни,Часы,Б-ТОП-301 с 02.02.2026
"к
и
н
ь
л
де
не
о
П",8.30-10.00,лаб.з. Технология продукции общественного питания 1 п/г С-142 асс.Щербянов Р.Ш.
,,лаб.з.Технология продукции общественного питания 2 п/г С-142 асс Щербянов Р.Ш.
,10.10-11.40,лаб.з. Технология продукции общественного питания 1 п/г С-142 асс.Щербянов Р.В.
,,лаб.з.Технология продукции общественного питания 2 п/г С-142 асс Щербянов Р.Ш.
,12.00-13.30,лек. ТЕХНОЛОГИЯ ПРОДУКЦИИ ОБЩЕСТВЕННОГО ПИТАНИЯ доцент Рысмухамбетова Г.Е. ауд.4
,13.40-15.10,пр.з. Технология продукции общественного питания С-145 асс. Фалько Д.О.
,,пр.з. Организация производства и обслуживания на предпричятиях общественного питания С-145 доц.Макарова А.Н.
,15.20-16.50,лаб.з. Научные основы разработки технологий и продукции общественного питания 2п/г С-145 доц. Фоменко О.С.
,,лаб.з. Научные основы разработки технологий и продукции общественного питания 1п/г С-145 доц. Фоменко О.С.
,17.00-18.30,
"к
и
н
р
о
т
В",8.30-10.00,"пр.з ОБЩ.ФИЗ.ПОДГОТОВКА каф.ФиС
асс. Кошелев В.П."
,10.10-11.40,лек. ПРОДОВОЛЬСТВЕННАЯ БЕЗОПАСНОСТЬ проф.Карабаева М.Э. ауд.5
,,лек.КОНДИТЕРСКОЕ ПРОИЗВОДСТВО доц.Макарова А.Н. ауд.5
,12.00-13.30,пр.з. Продовольственная безопасность ауд.5 проф.Карабаева М.Э.
,,лек. ОБОРУДОВАНИЕ ПРЕДПРИЯТИЙ ОБЩЕСТВЕННОГО ПИТАНИЯ доцент Кизиева С-149
,13.40-15.10,пр.з. Оборудование предприятий общественного питания С-219 доц.Кизиева А.С.
,15.20-16.50,
,17.00-18.30,
"а
д
ре
С",8.30-10.00,* * *
,,лаб.з. Организация производства и обслуживания на предприятиях общественного питания 1п/г С-151 доц.Макарова А.Н.
,10.10-11.40,лаб.з. Организация производства и обслуживания на предприятиях общественного питания 2п/г С-151 доц.Макарова А.Н.
,,лаб.з. Организация производства и обслуживания на предприятиях общественного питания 1п/г С-151 доц.Макарова А.Н.
,12.00-13.30,лаб.з. Организация производства и обслуживания на предприятиях общественного питания 2п/г С-151 доц.Макарова А.Н.
,,лек. ОРГАНИЗАЦИЯ ПРОИЗВОДСТВА И ОБСЛУЖИВАНИЯ НА ПРЕДПРИЯТИЧХ ОБЩЕСТВЕНОГО ПИТАНИЯ доцент Макарова А.Н. ауд.4
,13.40-15.10,лаб.з. Кондитерское производство 1п/г С-142 асс.Сорокин С.С.
,,лаб.з. Кондитерское производство 2п/г С-142 асс.Сорокин С.С.
,15.20-16.50,лаб.з. Кондитерское производство 1п/г С-142 асс.Сорокин С.С.
,,лаб.з. Кондитерское производство 2п/г С-142 асс.Сорокин С.С.
,17.00-18.30,
"рг
ве
т
Че",8.30-10.00,"пр.з ОБЩ.ФИЗ.ПОДГОТОВКА каф.ФиС
асс. Кошелев В.П."
,10.10-11.40,лек.СТРОИТЕЛЬНОЕ ПРОЕКТИРОВАНИЕ И ТЕХНИЧ.ОБЕСПЕЧ.ПРЕДПРИЯТИЙ ОБЩЕСТВЕННОГО ПИТАНИЯ доц.Фоменко О.С. С-149
,,лек. ПИЩЕВЫЕ ДОБАВКИ профессор Неповинных Н.В. С-149
,12.00-13.30,пр.з. Строительное проектирование и технич.обеспеч.предприятий общественного питания С-145 доц.Фоменко О.С.
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"а
ц
и
н
т
я
П",8.30-10.00,лаб.з. Научные основы разработки технологий и продукции общественного питания 1п/г С-140 доц. Фоменко О.С.
,,лаб.з. Научные основы разработки технологий и продукции общественного питания 2п/г С-145 доц. Фоменко О.С.
,10.10-11.40,лек. НАУЧНЫЕ ОСНОВЫ РАЗРАБОТКИ ТЕХНОЛОГИЙ И ПРОДУКЦИИ ОБЩЕСТВЕННОГО ПИТАНИЯ доцент Фоменко О.С. ауд.4
,,пр.з. Научные основы разработки технологий и продукции общественного питания ауд.4 доц. Фоменко О.С.
,12.00-13.30,лаб.з. Пищевые добавки 2п/г С-140 проф.Неповинных Н.В.
,,лаб.з. Пищевые добавки 1п/г С-140 проф.Неповинных Н.В.
,13.40-15.10,лаб.з. Пищевые добавки 2п/г С-140 проф.Неповинных Н.В.
,,лаб.з. Пищевые добавки 1п/г С-140 проф.Неповинных Н.В.
,15.20-16.50,
,17.00-18.30,
"а
т
о
б
б
у
С",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,,
