"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 4 курс",column_1,column_2
Дни,Часы,Б-АИ-ЭА-404 26.01.26
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,лек. ЭЛЕКТРОСНАБЖЕНИЕ доц. Волгин А.В. 200
,,пр.з. электроснабжение Кузнецов А.А. 200
,10.10-11.40,"лек. ПРОЕКТИРОВАНИЕ ЭНЕРГЕТИЧЕСКОЙ СЛУЖБЫ
доц. Иванкина Ю.В. 420"
,12.00-13.30,лек. РЕЛЕЙНАЯ ЗАЩИТА И АВТОМАТИКА доц. Бакиров С.М. 200
,,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"к
и
н
р
о
т
В",8.30-10.00,
,10.10-11.40,лаб.з. электроснабжение Лягина Л.А. Абрамова В.С. 200
,,лаб.з. проектирование систем электрификации Лягина Л.А. Кузнецов А.А. 304
,12.00-13.30,"лаб.з. организация безопасной эксплуатации электроустановок
Моисеев А.П. Шишигин И.Н. 304"
,13.40-15.10,"лек. ПРОЕКТИРОВАНИЕ СИСТЕМ ЭЛЕКТРИФИКАЦИИ
доц. Лягина Л.А. 304"
,15.20-16.50,
,,пр.з. релейная защита и автоматика Кузнецов А.А. 200
,17.00-18.30,
"а
д
е
р
С",8.30-10.00,
,10.10-11.40,"лаб.з. проектирование энергетической службы
Иванкина Ю.В. Шишигин И.Н. 420 416"
,12.00-13.30,лек. ОРГАНИЗАЦИЯ БЕЗОПАСНОЙ ЭКСПЛУАТАЦИИ ЭЛЕКТРОУСТАНОВОК доц. Моисеев А.П.304
,,лек. ИСПЫТАНИЕ И НАЛАДКА ЭЛЕКТРООБОРУДОВАНИЯ доц. Иванкина Ю.В. 305
,13.40-15.10,"лаб.з. электрооборудование подстанций и распределительных устройств
Волгин А.В. Шишигин И.Н. 304"
,15.20-16.50,
,17.00-18.30,
"г
р
е
в
т
е
Ч",8.30-10.00,
,10.10-11.40,"лаб.з. испытание и наладка электрооборудования
Иванкина Ю.В. Шишигин И.Н. 305 304"
,12.00-13.30,"лаб.з. релейная защита и автоматика
Ищенко А.П. Логачева О.В. 200 201"
,13.40-15.10,
,,лек. ЭЛЕКТРООБОРУДОВАНИЕ ПОДСТАНЦИЙ И РАСПРЕДЕЛИТЕЛЬНЫХ УСТРОЙСТВ доц. Волгин А.В. 304
,15.20-16.50,
,17.00-18.30,
"а
ц
и
н
т
я
П",8.30-10.00,
,,пр.з. основы научных исследований в агроинженерии Павлов П.И. 431
,10.10-11.40,лек. ОСНОВЫ НАУЧНЫХ ИССЛЕДОВАНИЙ В АГРОИНЖЕНЕРИИ проф. Павлов П.И. 202
,,пр.з. электрооборудование подстанций и распределительных устройств Шишигин И.Н. 200
,12.00-13.30,"лаб.з. проектирование систем электрификации
Лягина Л.А. Кузнецов А.А. 304 305"
,13.40-15.10,"лаб.з. электроснабжение
Лягина Л.А. Абрамова В.С. 200"
,15.20-16.50,
,17.00-18.30,
"а
т
о
б",8.30-10.00,
,10.10-11.40,
"б
у
С",12.00-13.30,
,13.40-15.10,
