"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 1 курс",column_1,column_2
Дни,Часы,Б-ТЛ-101 с 02.02.2026
,8.30-10.00,
"к
и
н
ь
л
е
д
е
н
о
П",,лек. ИСТОРИЯ РОССИИ доц. Котельников В.А. 202
,10.10-11.40,"пр.з. механика
Шишкин И.В. 437"
,12.00-13.30,"пр.з. общая физическая подготовка
Купричев Е.Д. сок"
,13.40-15.10,"лаб.з. инженерная физика
Рыжова Е.В. 244"
,15.20-16.50,пр.з. иностранный язык Зотеева Т.С. 512
,,
,17.00-18.30,
"к
и
н
р
о
т
В",8.30-10.00,
,10.10-11.40,"пр.з. начертательная геометрия и инженерная графика
Перетятько А.В. 315"
,12.00-13.30,пр.з. иностранный язык Зотеева Т.С. 512
,,лек. ИНЖЕНЕРНАЯ ФИЗИКА доц. Жиздюк А.А. 253
,13.40-15.10,"лек. МЕХАНИКА
доц. Левченко Г.В. 437"
,15.20-16.50,"пр.з. история России
Слижевская М.Р. 307"
,17.00-18.30,
"а
д
е
р
С",8.30-10.00,лек. СОЦИОЛОГИЯ проф. Дудникова Е.Б. 335
,,пр.з. социология Дудникова Е.Б. 335
,10.10-11.40,"пр.з. общая физическая подготовка
Купричев Е.Д. сок"
,12.00-13.30,
,13.40-15.10,ЕДИНЫЙ КУРАТОРСКИЙ ЧАС
,15.20-16.50,
,17.00-18.30,
"г
р
е
в
т
е
Ч",8.30-10.00,
,10.10-11.40,
,12.00-13.30,лек. МЕНЕДЖМЕНТ доц. Голубева А.А. 307
,,пр.з. менеджмент Голубева А.А. 307
,13.40-15.10,лек. ИСТОРИЯ ДЕРЕВООБРАБАТЫВАЮЩЕЙ ОТРАСЛИ И МЕБЕЛЬНОГО ПРОИЗВОДСТВА проф. Панкин К.Е. 123
,,лек. ИНФОРМАТИКА доц. Рубцова С.Н. 531
,15.20-16.50,"лаб.з. информатика
Рубцова С.Н. 531"
,17.00-18.30,
"а
ц
и
н
т
я
П",8.30-10.00,
,10.10-11.40,"пр.з. прикладная математика в деревообработке и производстве мебели
Селиванов Ф.С. 127"
,12.00-13.30,"пр.з. история деревообрабатывающей отрасли и мебельного производства
Панкин К.Е. 206"
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
,8.30-10.00,
"а
т
о
б
б
у
С",10.10-11.40,
,12.00-13.30,
,13.40-15.10,
