"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 4 курс",column_1,column_2
Дни,Часы,Б-ЛА-401
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,
,10.10-11.40,"лаб.з. проектирование и строительство малых архитектурных форм
Бечина Д.Н. ГЛ-4"
,12.00-13.30,"лек. ПРОЕКТИРОВАНИЕ И СТРОИТЕЛЬСТВО МАЛЫХ АРХИТЕКТУРНЫХ ФОРМ
доц. Бечина Д.Н. ГЛ-4"
,13.40-15.10,"лек. ОСНОВЫ НОРМИРОВАНИЯ ЛАНДШАФТНОГО ПРОЕКТИРОВАНИЯ И СТРОИТЕЛЬСТВА
доц. Андрушко Т.А. ГЛ-4"
,15.20-16.50,
,17.00-18.30,
"к
и
н
р
о
т
В",8.30-10.00,
,10.10-11.40,"лек. ЗОНАЛЬНЫЕ ТЕХНОЛОГИИ ПАРКОСТРОЕНИЯ
доц. Андрушко Т.А. ГЛ-5"
,12.00-13.30,"пр.з. основы нормирования ландшафтного проектирования
Андрушко Т.А. ГЛ-5"
,13.40-15.10,лек. ОСНОВЫ НОРМИРОВАНИЯ ЛАНДШАФТНОГО ПРОЕКТИРОВАНИЯ И СТРОИТЕЛЬСТВА доц. Андрушко Т.А.ГЛ-5
,,
,15.20-16.50,пр.з. основы нормирования ландшафтного проектирования строительства Андрушко Т.А.ГЛ-5
,,
,17.00-18.30,
"а
д
е
р
С",8.30-10.00,
,10.10-11.40,
,12.00-13.30,"лек. ПРОЕКТИРОВАНИЕ И СТРОИТЕЛЬСТВО МАЛЫХ АРХИТЕКТУРНЫХ ФОРМ
доц. Бечина Д.Н. Андрушко Т.А. ГЛ-5"
,13.40-15.10,"лаб.з. проектирование и строительство малых архитектурных форм
Бечина Д.Н. Андрушко Т.А ГЛ-5"
,15.20-16.50,"лаб.з. проектирование и строительство малых архитектурных форм
Бечина Д.Н. Андрушко Т.А ГЛ-5"
,17.00-18.30,"ОСНОВЫ ВОЕННОЙ ПОДГОТОВКИ
доц. Палади А.А. 239"
"г
р
е
в
т
е
Ч",8.30-10.00,
,10.10-11.40,"лек. ЗОНАЛЬНЫЕ ТЕХНОЛОГИИ ПАРКОСТРОЕНИЯ
доц. Андрушко Т.А. ГЛ-4"
,12.00-13.30,"лаб.з. зональные технологии паркостроения
Андрушко Т.А. ГЛ-4"
,13.40-15.10,"лаб.з. зональные технологии паркостроения
Андрушко Т.А. ГЛ-4"
,15.20-16.50,"лаб.з. зональные технологии паркостроения
Андрушко Т.А. ГЛ-4"
,17.00-18.30,
"а
ц
и
н
т
я
П",8.30-10.00,
,10.10-11.40,
,,пр.з. основы военной подготовки Билыч А.С. 427
,12.00-13.30,"пр.з. основы военной подготовки
Билыч А.С. 427"
,13.40-15.10,"пр.з. основы военной подготовки
Билыч А.С. 427"
,15.20-16.50,
,17.00-18.30,
"а
т
о
б",8.30-10.00,
,10.10-11.40,
"б
у
С",12.00-13.30,
,13.40-15.10,
,,
