column_0,column_1,column_2,column_3
,,,
"Расписание занятий на 2 семестр 2025-2026 учебного года
институт генетики и агрономии 2 курс",,,
"а
т
а
Д","и
н
Д",Часы,Б-А-21
"я
л
е
р
п
а
6
0","к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,"С 12:00 ЭКЗАМЕН Химия
доц. Величко Н. С. ауд. 345"
,,13.40-15.10,
,,15.20-16.50,"пр. з. История России
асс. Слижевская М. Р. УК№2 ауд. 307"
,,17.00-18.30,"пр. з. История России
асс. Слижевская М. Р. УК№2 ауд. 307"
"я
л
е
р
п
а
7
0","к
и
н
р
о
т
В",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,"пр. з. Техническое обеспечение сельского хозяйства
доц. Сураев Д. В., доц. Преймак С. А. ауд. 135, 602"
,,13.40-15.10,"С 13:40 ЭКЗАМЕН Техническое обеспечение сельского хозяйства
доц. Сураев Д. В. ауд. 135"
,,15.20-16.50,
,,17.00-18.30,"пр. з. История России
асс. Слижевская М. Р. УК№2 ауд. 307"
"я
л
е
р
п
а
8
0","а
д
е
р
С",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,"С 13:40 ЭКЗАМЕН Иностранный язык
доц. Мизюрова Э. Ю., доц. Иванова Л. М. УК№2 ауд. 510а, 512"
,,15.20-16.50,"пр. з. История России
асс. Слижевская М. Р. УК№2 ауд. 307"
,,17.00-18.30,
,,18.40-20.10,
"я
л
е
р
п
а
9
0","г
р
е
в
т
е
Ч",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,
,,15.20-16.50,
,,17.00-18.30,"пр. з. Философия
проф. Дудникова Е. Б. ауд. 294"
,,18.40-20.10,"С 18:40 ЭКЗАМЕН Философия
проф. Дудникова Е. Б. ауд. 294"
"я
л
е
р
п
а
0
1","а
ц
и
н
т
я
П",8.30-10.00,"пр. з. История России
асс. Слижевская М. Р. ауд. 251"
,,10.10-11.40,"С 10:10 ЭКЗАМЕН История России
проф. Шалаева Н. В. ауд. 251"
,,12.00-13.30,
,,13.40-15.10,
,,15.20-16.50,
,,17.00-18.30,
,,18.40-20.10,
"я
л
е
р
п
а
1
1","а
т
о
б
б
у
С",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,
,,,
