"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 2 курс",column_1,column_2
Дни,Часы,Б-АИ-ТС-203 с 26.01.25
,8.30-10.00,
"к
и
н
ь
л
е
д
е
н
о
П",10.10-11.40,"пр.з. общая физическая подготовка
Бугров А.А. сок"
,12.00-13.30,"лаб.з. технические системы в растениеводстве
Постников С.Е. Шардина Г.Е. 140"
,13.40-15.10,"лаб.з. цифровые технологии и искусственный интеллект в агроинженерии
Цагареишвили М.Р. 520"
,15.20-16.50,
,17.00-18.30,
"к
и
н
р
о
т
В",8.30-10.00,"лек. МАТЕРИАЛОВЕДЕНИЕ И ТЕХНОЛОГИЯ КОНСТРУКЦИОННЫХ МАТЕРИАЛОВ
доц. Павлов А.В. 402"
,10.10-11.40,"пр.з. психология работы в малых группах
Рыжкова И.В. 111"
,12.00-13.30,лек. ТЕХНИЧЕСКИЕ СИСТЕМЫ В ЖИВОТНОВОДСТВЕ доц. Данилин А.В. 140
,,пр.з. социология Дудникова Е.Б. 434
,13.40-15.10,лаб.з. технические системы в животноводстве Постников С.Е. 140
,,пр.з. психология работы в малых группах Рыжкова И.В. 111
,15.20-16.50,
,17.00-18.30,
"а
д
е
р
С",8.30-10.00,"пр.з. общая физическая подготовка
Бугров А.А. сок"
,10.10-11.40,"лаб.з. материаловедение и технология конструкционных материалов
Павлов А.В. 421"
,12.00-13.30,лек. СОЦИОЛОГИЯ проф. Дудникова Е.Б. 402
,,лек. ЦИФРОВЫЕ ТЕХНОЛОГИИ И ИСКУССТВЕННЫЙ ИНТЕЛЛЕКТ В АГРОИНЖЕНЕРИИ доц. Гончаров Р.Д. 402
,13.40-15.10,"пр.з. системы автоматизированного проектирования
Перетятько А.В. 522"
,15.20-16.50,
,17.00-18.30,
"г
р
е
в
т
е
Ч",8.30-10.00,
,10.10-11.40,"лаб.з. тезнологии механической обработки материалов и деталей
Чекмарев В.В. 421"
,12.00-13.30,"лек. ТЕХНОЛОГИИ МЕХАНИЧЕСКОЙ ОБРАБОТКИ МАТЕРИАЛОВ И ДЕТАЛЕЙ
проф. Чекмарев В.В. 421"
,13.40-15.10,Переход
,15.20-16.50,
,17.00-18.30,
"а
ц
и
н
т
я
П",8.30-10.00,
,10.10-11.40,
,,лек. ТЕХНИЧЕСКИЕ СИСТЕМЫ В РАСТЕНИЕВОДСТВЕ доц. Шардина Г.Е. 131
,12.00-13.30,"лек. МЕХАНИКА
доц. Левченко Г.В. 402"
,13.40-15.10,"лаб.з. механика
Исмаилов И. 434"
,15.20-16.50,
,17.00-18.30,
"а
т
о
б",8.30-10.00,
,10.10-11.40,
"б
у
С",12.00-13.30,
,13.40-15.10,
,,
