"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 3 курс",column_1,column_2
Дни,Часы,Б-АИ-301 с 26.01.26
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,
,10.10-11.40,"лек. УСТРОЙСТВО МАШИН И ОБОРУДОВАНИЯ В РАСТЕНИЕВОДСТВЕ
доц. Шардина Г.Е. 131"
,12.00-13.30,"лаб.з. устройство машин и оборудования в растениеводстве
Шардина Г.Е. 131"
,13.40-15.10,"лек. ЭКСПЛУАТАЦИЯ ТЕХНИЧЕСКИХ СРЕДСТВ В АПК
проф. Старцев А.С. 138"
,15.20-16.50,"лаб.з. эксплуатация технических средств в АПК
Старцев А.С. Савенков А.С. Меденко А.А. 138"
,17.00-18.30,
"к
и
н
р
о
т
В",8.30-10.00,
,10.10-11.40,"лаб.з. особенности изготовлениия деталей с применением CAD-CAM системы
Чекмарев В.В. 520"
,12.00-13.30,лек. ТРАКТОРЫ И АВТОМОБИЛИ доц. Нестеров Е.С.33б
,,"лек. ПОДЪЕМНО-ТРАНСПОРТНЫЕ МАШИНЫ, ИХ УЗЛЫ И ДЕТАЛИ В АГРОИНЖЕНЕРИИ проф. Павлов П.И. 402"
,13.40-15.10,"лаб.з. тракторы и автомобили
Демин Е.Е. 33"
,15.20-16.50,
,17.00-18.30,
"а
д
е
р
С",8.30-10.00,"лаб.з. надежность технических систем в АПК
Исмаилов И.С. 529"
,10.10-11.40,"пр.з. подъемно-транспортные машины, их узлы и детали в агроинженерии
Павлов П.И. 431"
,12.00-13.30,лек.ТЕХНИЧЕСКОЕ ОБОСНОВАНИЕ ИНЖЕНЕРНЫХ РЕШЕНИЙ проф.Чекмарев В.В. 33
,,пр.з. техническое обоснование инженерных решений Чекмарев В.В. 33
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"г
р
е
в
т
е
Ч",8.30-10.00,"лаб.з.подъемно-транспортные машины, их узлы и детали в агроинженерии Павлов П.И. 431"
,,
,10.10-11.40,"лек. НАДЕЖНОСТЬ ТЕХНИЧЕСКИХ СИСТЕМ В АПК
доц. Венскайтис В.В. 423"
,12.00-13.30,лек.ЭЛЕКТРОТЕХНИКА И ЭЛЕКТРОНИКА доц.Чернова Е.Н.413
,,пр.з. электротехника и электроника Волгин А.В. 413
,13.40-15.10,"пр.з. общая физическая подготовка
Пяткина Н.А. сок"
,15.20-16.50,
,17.00-18.30,
"а
ц
и
н
т
я
П",8.30-10.00,
,10.10-11.40,"лек. ТЕХНОЛОГИЯ СЕЛЬСКОХОЗЯЙСТВЕННОГО МАШИНОСТРОЕНИЯ
проф. Чекмарев В.В. 115"
,12.00-13.30,"лаб.з. технология сельскохозяйстенного машиностроения
Чекмарев В.В. 115"
,13.40-15.10,лаб.з.технология сельскохозяйстенного машиностроения Чекмарев В.В. 33
,,лек.ОСОБЕННОСТИ ИЗГОТОВЛЕНИЯ ДЕТАЛЕЙ С ПРИМЕНЕНИЕМ CAD-CAM СИСТЕМЫ проф.Чекмарев В.В.520
,15.20-16.50,пр.з.надежность технических систем вАПК Березкин А.С. 529
,,
,17.00-18.30,
"а
т
о
б",8.30-10.00,
,10.10-11.40,
"б
у
С",12.00-13.30,
,13.40-15.10,
,,
