column_0,column_1,column_2,column_3
,,,
"Расписание занятий на 2 семестр 2025-2026 учебного года
институт генетики и агрономии 2 курс",,,
"а
т
а
Д","и
н
Д",Часы,М-ЗиК-21
"а
т
р
а
м
2","к
и
н
ь
л
е
д
е
н
о
П",10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,"лек. ПЛАНИРОВАНИЕ И УПРЕВЛЕНИЕ ЗЕМЕЛЬНЫМИ РЕСУРСАМИ
доц. Янюк В.М. 807"
,,15.20-16.50,"пр.з. ЭКОНОМИКА И УПРАВЛЕНИЕ ЗЕМЕЛЬНО-ИМУЩЕСТВЕННЫМ КОМПЛЕКСОМ
доц. Потоцкая Л.Н. 803"
,,17.00-18.30,"пр.з. ЭКОНОМИКА И УПРАВЛЕНИЕ ЗЕМЕЛЬНО-ИМУЩЕСТВЕННЫМ КОМПЛЕКСОМ
доц. Потоцкая Л.Н. 1004"
,,18.40-20.10,
"а
т
р
а
м
3","к
и
н
р
о
т
В",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,"лек. ЗЕМЛЕУСТРОИТЕЛЬНАЯ ЭКСПЕРТИЗА
проф. Тарасенко П.В. 1008"
,,13.40-15.10,"лек. ЗЕМЛЕУСТРОИТЕЛЬНАЯ ЭКСПЕРТИЗА
проф. Тарасенко П.В. 1008"
,,15.20-16.50,"пр.з. Риски в управлении недвижимостью
доц. Пшенцова А.И. 345"
,,17.00-18.30,"пр.з. Риски в управлении недвижимостью
доц. Пшенцова А.И. 345"
,,18.40-20.10,
"а
т
р
а
м
4","а
д
е
р
С",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,"лек. ПЛАНИРОВАНИЕ И УПРЕВЛЕНИЕ ЗЕМЕЛЬНЫМИ РЕСУРСАМИ
доц. Янюк В.М. 1008"
,,15.20-16.50,"пр.з. ЗЕМЛЕУСТРОИТЕЛЬНАЯ ЭКСПЕРТИЗА
асс. Агарышева А.Н. 1003"
,,17.00-18.30,"пр.з. ЗЕМЛЕУСТРОИТЕЛЬНАЯ ЭКСПЕРТИЗА
асс. Агарышева А.Н. 1003"
,,18.40-20.10,
"а
т
р
а
м
5","г
р
е
в
т
е
Ч",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,"пр.з. ПЛАНИРОВАНИЕ И УПРЕВЛЕНИЕ ЗЕМЕЛЬНЫМИ РЕСУРСАМИ
доц. Янюк В.М. 1003"
,,15.20-16.50,"пр.з. Регулирование земельно-имущественных отноршений
доц. Гагина И.С. 1008"
,,17.00-18.30,"пр.з. Регулирование земельно-имущественных отноршений
доц. Гагина И.С. 1008"
,,18.40-20.10,
"а
т
р
а
м
6
а
т","а
ц
и
н
т
я
П
а
т",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,"пр.з. Риски в управлении недвижимостью
доц. Пшенцова А.И. 535"
,,13.40-15.10,"пр.з. Риски в управлении недвижимостью
доц. Пшенцова А.И. 533"
,,15.20-16.50,"пр.з. Регулирование земельно-имущественных отноршений
доц. Гагина И.С. 533"
,,17.00-18.30,"пр.з. Регулирование земельно-имущественных отноршений
доц. Гагина И.С. 533"
,,18.40-20.10,
"р
а
м
7","о
б
б
у
С",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,
,,,
