"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт биотехнологии 2 курс",column_1,column_2,column_3
Дни,Часы,Б-ППР-201 с 02.02.26 г.,Б-ТПП-201 с 02.02.26 г.
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,* * *,пр.з. Пищевые добавки С-224 проф.Неповинных Н.В.
,,лаб.з. Органическая и физ.коллоидная химия 509 проф.Древко Б.И.,
,10.10-11.40,лаб.з. Органическая и физ.коллоидная химия 509 проф.Древко Б.И.,"лаб.з. Технические основы проектирования С-219, 352.31
доц.Кизиева А.С., асс.Мухамеджанова Ю.В."
,,"лек.БЕЗОПАСНОСТЬ СЫРЬЯ, ПРОДУКУЦИИ И ТЕХНОЛОГИЧЕСКИЕ ПРОЦЕССЫ проф.Карабаева М.Э. С-152",
,12.00-13.30,лек. ОРГАНИЧЕСКАЯ И ФИЗ.КОЛЛОИДНАЯ ХИМИЯ профессор Древко Б.И. 515,"пр.з Общ.физ.подготовка каф.ФиС
доц.Скосырева Е.Г."
,,"пр.з. Безопасность сырья,продукции и технологические процессы С-152 проф.Карабаева М.Э.",
,13.40-15.10,"пр.з Общ.физ.подготовка каф.ФиС
ст.пр.Лаврухин А.С.",
,15.20-16.50,,
,17.00-18.30,,
"к
и
н
р
о
т
В",8.30-10.00,лек. ТЕХНОЛОГИЯ МАКАРОННЫХ ИЗДЕЛИЙ профессор Садыгова М.К. С-206,лек. СОЦИОЛОГИЯ доцент Булгаков С.В. С-413
,,* * *,пр.з. Социология С-413 доц.Булгаков С.В.
,10.10-11.40,лаб.з. Технология макаронных изделий С-204 проф.Садыгова М.К.,лек.ТЕХНИЧЕСКИЕ ОСНОВЫ ПРОЕКТИРОВАНИЯ доцент Тюрин И.Ю. С-219
,,пр.з. Технология макаронных изделий С-206 проф.Садыгова М.К.,лек. БИОХИМИЯ доцент Смутнев П.В. 515
,12.00-13.30,лаб.з. Технология макаронных изделий С-204 проф.Садыгова М.К.,лаб.з. Биохимия 1п/г 516 доц.Смутнев П.В.
,,пр.з. Технология макаронных изделий С-206 проф.Садыгова М.К.,
,13.40-15.10,п е р е е з д,
,15.20-16.50,"лек. ЭЛЕКТРОТЕХНИКА доцент Лягина Л.А. УК№2, 416",
,,"лаб.з. Электротехникка УК№2,416 доц.Чурляева О.Н.",
,17.00-18.30,,
"а
д
е
р
С",8.30-10.00,,лаб.з. Биохимия 2п/г 538 доц.Смутнев П.В.
,10.10-11.40,"пр.з Общ.физ.подготовка каф.ФиС
ст.пр.Лаврухин А.С.",лек. ПИЩЕВЫЕ ДОБАВКИ профессор Неповинных Н.В. С-224
,,,лек. ПРАВОВЕДЕНИЕ доцент Рубанова М.Е. ауд.4
,12.00-13.30,лек. ТЕПЛО- И ХЛАДОТЕХНИКА доцент Катусов Д.Н. 116,"пр.з Общ.физ.подготовка каф.ФиС
доц.Скосырева Е.Г."
,,пр.з. Тепло-и хладотехника 116 асс.Першутин В.А.,
,13.40-15.10,лаб.з. Тепло-и хладотехника 116 асс.Першутин В.А.,пр.з. Правоведение С-413 доц.Рубанова М.Е.
,15.20-16.50,,
,17.00-18.30,,
"г
р
е
в
т
е
Ч",8.30-10.00,лаб.з. Технические основы проектирования 206 доц. Буттаев О.М..,
,10.10-11.40,лек. ТЕХНИЧЕСКИЕ ОСНОВЫ ПРОЕКТИРОВАНИЯ доцент Буттаев О.М. С-219,лек.САНИТАРНАЯ ГИГИЕНА И БЕЗОПАСНОСТЬ ПИЩЕВЫХ ПРОДУКТОВ проф.Попова О.М. С-145
,,лек. ПИЩЕВАЯ МИКРОБИОЛОГИЯ доцент Хапцев 528,* * *
,12.00-13.30,лаб.з. Пищевая микробиология 308 доц.Хапцев З.Ю.,"пр.з. Санитарная гигиена и безопасность пищевых продуктов
С-152 проф.Попова О.М."
,13.40-15.10,,п е р е е з д
,"15.20-16.50
17.00-18.30",,"лек.ЭЛЕКТРОТЕХНИКА доцент Чернова Е.Н. УК№2, 416"
,,,"пр.з. Электротехника УК№2 , 416 доц.Чернова Е.Н."
,,,
,14.50-16.20,,* * *
,16.30-18.00,,
,,,"пр.з. Электротехника УК№2 , 416 доц.Чернова Е.Н."
"а
ц
и
н
т
я
П",8.30-10.00,,лаб.з. П А П П 1п/г 322 доц.Киселева И.С.
,10.10-11.40,"лек.ЭКОНОМИЧЕСКАЯ КУЛЬТУРА доц.Аукина Н.Г., проф.Уколова Н.В. 419",лек. РЕОЛОГИЯ доцент Киселева И.С. ауд.5
,,лек. МЕНЕДЖМЕНТ доцент Петрова И.В. 206,лек. П А П П доцент Киселева И.С. ауд.5
,12.00-13.30,"пр.з. Экономическая культура 419 доц.Аукина Н.Г.,проф.Уколова Н.В.",пр.з. Реология 322 доц. Киселева И.С.
,,пр.з. Менеджмент 419 асс.Сахно Э.С.,
,13.40-15.10,,лаб.з. П А П П 2п/г 322 доц.Киселева И.С.
,15.20-16.50,,
,17.00-18.30,,
"а
т
о
б
б
у
С",8.30-10.00,,
,10.10-11.40,,
,12.00-13.30,,
,13.40-15.10,,
,,,
