"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт биотехнологии 3 курс",column_1,column_2,column_3
Дни,Часы,Б-БТ-301 с 12.01.26 г.,Б-ПЖ-301 с 02.02.26 г.
"к
и
н
ль
неде
По",8.30-10.00,лаб.з.Физикохимические методы анализа биосистем 2п/г 526 ст.пр.Кичемазова Н.В.,
,10.10-11.40,"пр.з.ОБЩ.ФИЗ.ПОДГОТОВКА каф.ФиС
проф.Милехин А.В.",
,12.00-13.30,лек. ЭКОЛОГИЧЕСКАЯ БИОТЕХНОЛОГИЯ доц. Спиряхина Т.В. 528,лек.ТЕХНОЛОГИЯ ПЕРЕРАБОТКИ ПРОДУКЦИИ ПТИЦЕВОДСТВА доцент Левина Т.Ю. 206
,,,лек.МЕТОДЫ ИССЛЕДОВАНИЯ МЯСА И МЯСНЫХ ПРОДУКТОВ доцент Левина Т.Ю. 206
,13.40-15.10,лек.ФИЗИКОХИМИЧЕСКИЕ МЕТОДЫ АНАЛИЗА БИОСИСТЕМ доцент Волох 528,лаб.з.Технология переработки продукции птицеводства 133 асс.Крелин С.Д.
,15.20-16.50,"лаб.з.Физикохимические методы анализа биосистем 1п/г 516 ст.пр.Кичемазова Н.В.
лаб.з. Экологическая биотехнология 2п/г 510 проф.Абрамова Е.Г.",
,17.00-18.30,,
"к
и
н
р
Вто",8.30-10.00,лаб.з.Общая биотехнология 1п/г 526 доц.Волох / Инженерное обеспечение 2п/г 352.31 доц.Анисимов А.В.,
,,* * *,
,10.10-11.40,"лаб.з. Общая биотехнология 1 п/г 526 доц.Волох
лаб.з.Инженерное обеспечение 2п/г 352.31 доц.Анисимов А.В.",
,12.00-13.30,лек.КОНТРОЛЬ КАЧЕСТВА доцент Хапцев З.Ю. 515,лек.ТЕХНОЛОГИЯ МЯСА И МЯСНЫХ ПРОДУКТОВ доцент Левина Т.Ю. 206
,,лек.ИНЖЕНЕРНОЕ ОБЕСПЕЧЕНИЕ доцент Анисимов А.В. 352.31,
,13.40-15.10,"лаб.з. Общая биотехнология 2 п/г 538 доц.Волох
лаб.з.Инженерное обеспечение 1п/г 352.31 доц.Анисимов А.В.",лаб.з. Технология мяса и мясных продуктов 133 асс.Першутин В.А.
,15.20-16.50,* * *,лаб.з. Технология мяса и мясных продуктов 133 асс.Першутин В.А.
,,лаб.з.Общая биотехнология 2п/г 538 доц.Волох / Инженерное обеспечение 1п/г 352.31 доц.Анисимов А.В.,
,17.00-18.30,,лаб.з. Технология мяса и мясных продуктов 133 асс.Першутин В.А.
,,,* * *
