"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт биотехнологии 1 курс",column_1,column_2,column_3
Дни,Часы,Б-ЗТ-101 с 26.01.26 г.,Б-ВБ-101 с 02.02.26 г.
"к
и
н
ль
де
не
о
П",8.30-10.00,,"пр.з. Общая физ.подготовка каф.ФиС
асс. Огаренков М.Д."
,10.10-11.40,лаб.з. Генетика 1п/г 406 асс.Стрильчук А.А.,лек. ГИСТОЛОГИЯ И ЭМБРИОЛОГИЯ РЫБ профессор Зирук И.В. С-123
,12.00-13.30,"пр.з. Общая физ.подготовка каф.ФиС
доц.Правкина Я.Ю.","лаб.з. Гистология и эмбриология рыб 1п/г С-123 проф.Зирук И.В.
лаб.з. лаб.з. Водные растения пресных водоемов 2п/г с-305 доц.Гуркина О.А."
,13.40-15.10,"лаб.з. Микробиология 1п/г 308 проф.Банникова А.В.
лаб.з. Генетика 2п/г 406 асс.Стрильчук А.А.",п е р е е з д
,15.20-16.50,"лаб.з.Зоология 1п/г С-265 доц.Харитонова М.В.
лаб.з. Микробиология 2п/г 308 доц.Горшунова","лек. ГИДРОБИОЛОГИЯ доц.Демакина УК№, 111"
,,,* * *
,17.00-18.30,лаб.з. Зоология 1п/г С-265 доц.Харитонова М.В.,
,,* * *,
"к
и
н
р
о
Вт",8.30-10.00,лаб.з. Физиология с/х животных 1п/г С-273 доц.Клюкин С.Д.,лек. ЭКОЛОГИЯ доцент ПрохороваТ.М. С-268
,,лаб.з. Физиология с/х животных 2п/г С-273 доц.Клюкин С.Д.,лек.ОСНОВЫ ЭКОЛОГИИ И БИОЛОГИИ доцент Прохорова Т.М. С-268
,10.10-11.40,лек.МИКРОБИОЛОГИЯ профссор Карпунина Л.В. 308,пр.з. Экология С-268 доц.Прохорова Т.М.
,,"пр.з.Иностр.язык лаб.ин-яз. доц.Иванова Л.М, ст.пр.Дидусенко Е.Н.",
,12.00-13.30,лек.ФИЗИОЛОГИЯ С/Х ЖИВОТНЫХ доцент Клюкин С.Д. С-273,"пр.з.Иностр.язык лаб.ин-яз. доц.Иванова Л.М, ст.пр. Афанасьева Е.Г."
,,лек.ИСТОРИЯ РОССИИ доцент Поздникин А.А. ауд.5,лек. ИСТОРИЯ РОССИИ доцент Поздникин А.А. ауд.5
,13.40-15.10,лек. ЗООЛОГИЯ доцент Харитонова М.В. С-265,"лаб.з. Водные растения пресных водоемов С-305, С-305а
доц.Гуркина О.А., асс Сучков В.В."
,,* * *,
,15.20-16.50,,
,17.00-18.30,,
"да
ре
С",8.30-10.00,* * *,пр.з. История России С-208 доц.Поздникин А.А.
,,лек. ЭКОЛОГИЯ доцент Харитонова М.В. С-265,
,10.10-11.40,"пр.з. Общая физ.подготовка каф.ФиС
доц.Правкина Я.Ю.","пр.з. Общая физ.подготовка каф.ФиС
асс. Огаренков М.Д."
,12.00-13.30,пр.з. История России С-409 доц.Поздникин А.А.,пр.з. Основы экологии и биологии С-268 доц.Прохорова Т.М.
,13.40-15.10,Кураторский час,Кураторский час
,15.20-16.50,,
,17.00-18.30,,
"рг
ве
Чет",8.30-10.00,* * *,
