"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт биотехнологии 3 курс",column_1,column_2,column_3
Дни,Часы,Б-ЗТ-301 с 16.02.26 г.,Б-ВБ-301 с 19.01.26 г.
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,,лек.ПРОЕКТИРОВАНИЕ И СТР-ВО АКВАФЕРМ доцент Гуркина О.А. С-305а
,10.10-11.40,,"лаб.з. Фермерская аквакультура С-305, С-305а
доц. Гуркина О.А., асс.Сучков А.А."
,12.00-13.30,"пр.з. Общая физ.подготовка каф.ФиС
ст.пр. Лаврухин В.П.",лек. ИСКУССТВЕННОЕ ВОСПРОИЗВОДСТВО доцент Руднева О.Н. С-305а
,13.40-15.10,"пр.з. Планирование производственной и сбытовой деятельности в жив-ве 343
доц.Руднев М.Ю.",лаб.з. Генетика и селекция рыб 1п/г С-305а доц.Преображенская Т.С.
,15.20-16.50,,
,17.00-18.30,,
"к
и
н
р
о
т
В",8.30-10.00,"лек.МЕХАНИЗ.И АВТОМАТИЗ. доц.Данилин А.В.
УК№2,к. 140",
,10.10-11.40,"лаб.з. Механизация и автомат.жив-ва УК№2,140
доц.Данилин А.В.,асс. Исмаилов",лек. ГЕНЕТИКА И СЕЛЕКЦИЯ РЫБ профессор Лушников В.П. С-305а
,,,"лаб.з. Кормление рыб 435,410 проф.Москаленко С.П., доц.Сивохина Л.А."
,12.00-13.30,,"лаб.з. Кормление рыб 435,410 проф.Москаленко С.П., доц.Сивохина Л.А."
,13.40-15.10,,
,15.20-16.50,,
,17.00-18.30,,
"а
д
е
р
С",8.30-10.00,пр.з. Свиноводство 403 доц.Бирюков О.И.,* * *
,,,лаб.з. Ихтиопатология 1п/г С-123 проф.Зирук И.В.
,10.10-11.40,лек. ОСНОВЫ ВЕТЕРИНАРИИ профессор Козлов С.В. / лаб.Терапии /,лаб.з. Ихтиопатология 1п/г С-123 проф.Зирук И.В.
,,пр.з. Основы ветеринарии / лаб.Терапии / проф.Козлов С.В.,
,12.00-13.30,"пр.з. Общая физ.подготовка каф.ФиС
ст.пр. Лаврухин В.П.",лек. КОРМЛЕНИЕ РЫБ доцент Сивохина Л.А. 435
,13.40-15.10,,лаб.з. Ихтиопатология 2п/г С-123 проф.Зирук И.В.
,15.20-16.50,,лаб.з. Ихтиопатология 2п/г С-123 проф.Зирук И.В.
,,,* * *
,17.00-18.30,,
"г
р
е
в
т
е
Ч",8.30-10.00,,* * *
,,,лек.ФЕРМЕРСКАЯ АКВАКУЛЬТУРА доцент Гуркина О.А. С-305
,10.10-11.40,пр.з. Управлеие качеством жив-ой продукции 403 ст.пр.Шутова О.С.,лек.ИХТИОПАТОЛОГИЯ профессор Зирук И.В. С-123
,12.00-13.30,лек. СКОТОВОДСТВО доцент Шингалов В.А. 403,"лаб.з.Проектирование и строительство акваферм С-305, 435
доц.Гуркина О.А., асс.Сучков А.А."
,13.40-15.10,лек. СВИНОВОДСТВО доцент Шингалов В.А. 403,
,15.20-16.50,,
,17.00-18.30,,
"а
ц
и
н
т
я
П",8.30-10.00,лек. ОВЦЕВОДСТВО И КОЗОВОДСТВО доцент Бирюков О.И. 403,"лаб.з.Методы рыбохозяйственных исследований С-305,С-305а
доц.Руднева О.Н., асс.Васильев А.В."
,,* * *,
,10.10-11.40,лаб.з. Овцеводство и козоводство 403 доц.Бирюков О.И.,"лаб.з. Искусственное воспроизводство рыб С-305, С-305а
доц. Преображенская Т.С., доц.Руднева О.Н."
,12.00-13.30,лаб.з. Скотоводство 403 доц.Бирюков О.И.,лек.МЕТОДЫ РЫБОХОЗЯЙСТВЕННЫХ ИССЛ-ИЙ доцент Руднева О.Н. С-305
,,,"лаб.з. Искусственное воспроизводство рыб С-305, С-305а"
,13.40-15.10,,
,15.20-16.50,,
"а
т
о
б
б
у
С",8.30-10.00,,
,10.10-11.40,,
,12.00-13.30,,
,13.40-15.10,,
,,,
