"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 1 курс",column_1,column_2
Дни,Часы,Б-АИ-РБ-104 с 02.02.2026
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,лек. ОБЩЕЕ УСТРОЙСТВО ТРАКТОРОВ И АВТОМОБИЛЕЙ доц. Моисеев А.П. ауд. 202
,,пр.з. иностранный язык Ларцева К.А. Герасимова В.А. ауд. 507 510
,10.10-11.40,"пр.з. иностранный язык
Ларцева К.А. Герасимова В.А. ауд. 507 510"
,12.00-13.30,"пр.з. общая физическая подготовка
Нефедова Ю.В. сок"
,13.40-15.10,
,,лаб.з.инженерная физика Рыжова Е.В. Благодарова П.А. ауд. 240 244
,15.20-16.50,
,17.00-18.30,
"к
и
н
р
о
т
В",8.30-10.00,лек. ИНЖЕНЕРНАЯ ФИЗИКА ст. пр. Рыжова Е.В. ауд. 202
,,лек. ИСТОРИЯ РОССИИ доц. Котельников В.А. ауд. 202
,10.10-11.40,"пр.з. прикладная математика в агроинженерии
Селиванов Ф.С. ауд. 127"
,12.00-13.30,"лаб.з. инженерная физика
Рыжова Е.В. Благодарова П.А. ауд. 240 244"
,13.40-15.10,"пр.з. история России
Слижевская М.Р. ауд. 307"
,15.20-16.50,
,17.00-18.30,
"а
д
е
р
С",8.30-10.00,"лек. МЕХАНИКА
доц. Левченко Г.В. ауд. 202"
,10.10-11.40,"пр.з. общая физическая подготовка
Нефедова Ю.В. сок"
,12.00-13.30,лаб.з. информатика Васильчиков В.В. Жданов Д.А. ауд. 522 520
,,
,13.40-15.10,ЕДИНЫЙ КУРАТОРСКИЙ ЧАС
,15.20-16.50,
,17.00-18.30,
"г
р
е
в
т
е
Ч",8.30-10.00,"лек. ИНЖЕНЕРНАЯ ФИЗИКА
ст. пр. Рыжова Е.В. ауд. 202"
,10.10-11.40,"лаб.з. механика
Шишкин И.В. Никитин Д.А. ауд. 434, 437"
,12.00-13.30,"лаб.з. информатика
Васильчиков В.В. Жданов Д.А. 522 520"
,13.40-15.10,пр.з. механика Березкин А.С. 434
,,пр.з.прикладная математика в агроинженерии Селиванов Ф.С. ауд. 127
,15.20-16.50,
,17.00-18.30,
"а
ц
и
н
т
я
П",8.30-10.00,"лек. ИНФОРМАТИКА
доц. Васильчиков В.В. ауд. 202"
,10.10-11.40,"лаб.з. общее устройство тракторов и автомобилей
Моисеев А.П. Лягина Л.А. ауд. 301 300"
,12.00-13.30,"пр.з. начертательная геометрия и инженерная графика
Перетятько А.В. Розанов А.В. ауд. 315 313"
,13.40-15.10,"пр.з. начертательная геометрия и инженерная графика
Перетятько А.В. Розанов А.В. ауд. 315 313"
,15.20-16.50,
,17.00-18.30,
,8.30-10.00,
"а
т
о
б
б
у
С",10.10-11.40,
,12.00-13.30,
,13.40-15.10,
