column_0,column_1,column_2,column_3
,,,
"Расписание занятий на 2 семестр 2025-2026 учебного года
институт генетики и агрономии 2 курс",,,
"а
т
а
Д","и
н
Д",Часы,Б-А-21
"а
т
р
а
м
3
2","к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,"лек. ХИМИЯ
доц. Величко Н. С. ауд. 345"
,,13.40-15.10,"лек. ХИМИЯ
доц. Величко Н. С. ауд. 345"
,,15.20-16.50,"лек. ТЕХНИЧЕСКОЕ ОБЕСПЕЧНИЕ СЕЛЬСКОГО ХОЗЯЙСТВА
доц. Сураев Д. В. ауд. 133"
,,17.00-18.30,"лек. ТЕХНИЧЕСКОЕ ОБЕСПЕЧНИЕ СЕЛЬСКОГО ХОЗЯЙСТВА
доц. Сураев Д. В. ауд. 133"
"а
т
р
а
м
4
2","к
и
н
р
о
т
В",8.30-10.00,"1 пг. пр. з. Иностранный язык
ст. п. Садовникова Е. В. УК№2 ауд. 511"
,,10.10-11.40,"1 пг. пр. з. Иностранный язык
ст. п. Садовникова Е. В. УК№2 ауд. 511"
,,12.00-13.30,"С 12:00 ЗАЧЁТ Статистические методы обработки данных в агрономии
доц. Пахомова Т. В. ауд. 134"
,,13.40-15.10,
,,15.20-16.50,"2 пг. пр. з. Иностранный язык
ст. п. Бормосова Н. Е. ауд. 450"
,,17.00-18.30,"2 пг. пр. з. Иностранный язык
ст. п. Бормосова Н. Е. ауд. 450"
"а
т
р
а
м
5
2","а
д
е
р
С",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,"пр. з. Техническое обеспечение сельского хозяйства
доц. Сураев Д. В. ауд. 133"
,,13.40-15.10,"пр. з. Физиология и биохимия растений
ст. п. Гулина Е. В. ауд. 329"
,,15.20-16.50,"пр. з. Психология работы в малых группах
доц. Щербакова Н. А. ауд. 253"
,,17.00-18.30,"С 17:00 ЗАЧЁТ Психология работы в малых группах
доц. Щербакова Н. А. ауд. 253"
,,18.40-20.10,
"а
т
р
а
м
6
2","г
р
е
в
т
е
Ч",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,"пр. з. Земледелие
доц. Линьков А. С., доц. Сураев Д. В. ауд. 602, 608"
,,13.40-15.10,"С 13:40 ЗАЧЁТ Земледелие
доц. Линьков А. С. ауд. 602"
,,15.20-16.50,"пр. з. Химия
доц. Величко Н. С., доц. Логачёва Е. А. ауд. 347, 349"
,,17.00-18.30,"пр. з. Химия
доц. Величко Н. С., доц. Логачёва Е. А. ауд. 347, 349"
,,18.40-20.10,
"а
т
р
а
м
7
2","а
ц
и
н
т
я
П",8.30-10.00,
,,10.10-11.40,"пр. з. Физиология и биохимия растений
ст. п. Гулина Е. В. ауд. 336"
,,12.00-13.30,"лек. СОЦИОЛОГИЯ
проф. Дудникова Е. Б. ауд. 294"
,,13.40-15.10,"пр. з. Социология
проф. Дудникова Е. Б. ауд. 294"
,,15.20-16.50,"С 15:20 ЗАЧЁТ Социология
проф. Дудникова Е. Б. ауд. 294"
,,17.00-18.30,
,,18.40-20.10,
"а
т
р
а
м
8
2","а
т
о
б
б
у
С",8.30-10.00,"пр. з. Иностранный язык
ст. п. Бормосова Н. Е., ст. п. Садовникова Е. В. УК№2 ауд. 511, 512"
,,10.10-11.40,"пр. з. Иностранный язык
ст. п. Бормосова Н. Е., ст. п. Садовникова Е. В. УК№2 ауд. 511, 512"
,,12.00-13.30,"лек. ТЕХНИЧЕСКОЕ ОБЕСПЕЧНИЕ СЕЛЬСКОГО ХОЗЯЙСТВА
доц. Сураев Д. В. ауд. 133"
,,13.40-15.10,"лек. ТЕХНИЧЕСКОЕ ОБЕСПЕЧНИЕ СЕЛЬСКОГО ХОЗЯЙСТВА
доц. Сураев Д. В. ауд. 133"
,,,
