column_0,column_1,column_2,column_3
,,,
"Расписание занятий на 2 семестр 2025-2026 учебного года
институт генетики и агрономии 2 курс
а и",,,
"т
а
Д","н
Д",Часы,Б-А-21
"а
т
р
а
м
2
0","к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,
,,10.10-11.40,"лек. ПОЧВОВЕДЕНИЕ С ОСНОВАМИ ГЕОЛОГИИ
доц. Летучий А.В. 602"
,,12.00-13.30,"лек. ПОЧВОВЕДЕНИЕ С ОСНОВАМИ ГЕОЛОГИИ
доц. Летучий А.В. 608"
,,13.40-15.10,"лаб. з. Почвоведение с основами геологии
ст.пр. Гераскина А.А. 608"
,,15.20-16.50,"лаб. з. Почвоведение с основами геологии
ст.пр. Гераскина А.А. 608"
,,17.00-18.30,
"а
т
р
а
м
3
0","к
и
н
р
о
т
В",8.30-10.00,
,,10.10-11.40,"лек. ПОЧВОВЕДЕНИЕ С ОСНОВАМИ ГЕОЛОГИИ
доц. Летучий А.В. 251"
,,12.00-13.30,"лек. ПОЧВОВЕДЕНИЕ С ОСНОВАМИ ГЕОЛОГИИ
доц. Летучий А.В. 251"
,,13.40-15.10,"лек. ПСИХОЛОГИЯ РАБОТЫ В МАЛЫХ ГРУППАХ
доц. Щербакова Н.А. 251"
,,15.20-16.50,"лаб. з. Почвоведение с основами геологии
ст.пр. Гераскина А.А. 603"
,,17.00-18.30,
"а
т
р
а
м
4
0","а
д
е
р
С",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,"лек. АГРОФИТОЦЕНОЛОГИЯ
доц. Субботин А.Г. 702"
,,13.40-15.10,"лаб. з. Почвоведение с основами геологии
ст.пр. Гераскина А.А. 610"
,,15.20-16.50,"лаб. з. Почвоведение с основами геологии
ст.пр. Гераскина А.А. 610"
,,17.00-18.30,"лек. ЗЕМЛЕДЕЛИЕ
доц. Линьков А.С. 610"
"а
т
р
а
м
5
0","г
р
е
в
т
е
Ч",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,"лек. ПСИХОЛОГИЯ РАБОТЫ В МАЛЫХ ГРУППАХ
доц. Щербакова Н.А. 251"
,,15.20-16.50,"лек. ЗЕМЛЕДЕЛИЕ
доц. Линьков А.С. 610"
,,17.00-18.30,"пр.з. Агрофитоценология
доц. Белышкина М.Е., Денисова А.Ю. 702"
,,18.40-20.10,"пр.з. Агрофитоценология
доц. Белышкина М.Е., Денисова А.Ю. 702"
"а
т
р
а
м
6
0
а
т
р","а
ц
и
н
т
я
П
а
т",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,"лек. АГРОФИТОЦЕНОЛОГИЯ
доц. Субботин А.Г. 702"
,,15.20-16.50,"лек. ЗЕМЛЕДЕЛИЕ
доц. Линьков А.С. 603"
,,17.00-18.30,"лек. ЗЕМЛЕДЕЛИЕ
доц. Линьков А.С. 603"
"а
м
7
0","о
б
б
у
С",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,
,,,
