"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт биотехнологии 2 курс",column_1,column_2,column_3
Дни,Часы,Б-ЗТ-201 с 02.02.26 г.,Б-ВБ-201 с 19.01.26 г.
"к
и
н
ль
де
не
о
П",8.30-10.00,,лаб.з. Физиология рыб 1п/г С-123 проф.Зирук И.В.
,10.10-11.40,,"лек. ТЕОРИЯ ЭВОЛЮЦИИ доцент Прохорова Т,М. С-253"
,,,пр.з. Теория эволюции С-253 доц.Прохорова Т.М.
,12.00-13.30,* * *,пр.з. Теория эволюции С-253 доц.Прохорова Т.М.
,,лек. РАЗВЕДЕНИЕ доцент Преображенская Т.С. 410,
,13.40-15.10,лек.ОСНОВЫ НАУЧНЫХ ИССЛЕДОВАНИЙ доцент Руднева О.Н. 410,"пр.з. Марикультура С-305 доц.Гуркина О.А., асс.Сучков В.В."
,,пр.з. Основы научных исследований 410 доц.Руднева О.Н.,
,15.20-16.50,пр.з. Социология С-409 доц.Булгаков С.В.,
,,* * *,
,17.00-18.30,,
"к
и
н
р
о
Вт",8.30-10.00,лек. КОРМЛЕНИЕ С/Х ЖИВОТНЫХ профессор Москадленко С.П. 435,"пр.з. Общая физ.подготовка каф.ФиС
доц.Правкина Я.Ю."
,10.10-11.40,лек.СОЦИОЛОГИЯ доц.Булгаков С.В. С-208,лек. ФИЗИОЛОГИЯ РЫБ профессор Зирук И.В. С-123
,,лек. ПРАВОВЕДЕНИЕ доцент Рубанова М.Е. С-149,лек. СОЦИОЛОГИЯ доцент Булгаков С.В. С-409
,12.00-13.30,"лек. ГЕНЕТИЧЕСКИЕ ОСНОВЫ СЕЛЕКЦИИ
доцент Преображенская Т.С. 406",пр.з. Социология С-208 доц.Булгаков С.В.
,,,"пр.з. Марикультура С-305а доц.Гуркина О.А.,асс.Сучков В.В."
,13.40-15.10,"пр.з. Общая физ.подготовка каф.ФиС
асс. Огаренков М.Д.",лек.ТЕХНОЛОГИЯ КУЛЬТИВИРОВАНИЯ ЖИВЫХ КОРМОВ доц.Гуркина О.А. С-305а
,,,лек. ГИДРОБИОЛОГИЯ доцент Гуркимна О.А. С-305а
,15.20-16.50,,
,17.00-18.30,,
"да
ре
С",8.30-10.00,,"лаб.з. Ихтиология С-305, С-305а
проф.Поддубная И.В., асс.Васильев А.А."
,10.10-11.40,пр.з. Генетические основы селекции 410 асс.Васильев А.В.,лек. ИХТИОЛОГИЯ профессор Поддубная И.В. С-305
,12.00-13.30,пр.з. Правоведение С-208 доц.Рубанова М.Е.,"лаб.з. Микробиология 1п/г 308 доц.Горшунова С.В.
лаб.з. Гидробиология 2 п/г С-305 доц.Гуркина О.А."
,13.40-15.10,лаб.з. Кормление с/х живыотных 434 проф.Москаленко С.П.,лаб.з. Гидробиология 1 п/г С-305 доц.Гуркина О.А.
,15.20-16.50,лаб.з. Кормление с/х живыотных 434 проф.Москаленко С.П.,
,,* * *,
,17.00-18.30,,
"рг
ве
Чет",8.30-10.00,пр.з. Генетические основы селекции 406 асс.Васильев А.В.,"лаб.з. биол.основы рыбоводства 2п/г С-305а проф.Поддубная И.В.
лаб.з. Микробиология 1п/г 310 доц.Горшунова С.В."
,10.10-11.40,лаб.з. Разведение 406 асс Васильев А.В.,лек.БИОЛОГИЧЕСКИЕ ОСНОВЫ РЫБОВОДСТВА С-305 проф.Поддубная И.В.
,,,лек. МИКРОБИОЛОГИЯ доц.Горшунова С.В. 339
,12.00-13.30,"пр.з. Общая физ.подготовка каф.ФиС
асс. Огаренков М.Д.","лаб.з.Физиология рыб 2п/г С-123 проф.Зирук И.В.
лаб.з. Биологические основы рыбоводства 1п/г С-305 проф.Поддубная И.В."
,13.40-15.10,,"лаб.з. Технология культивирования живых кормов С-305, С-305а
доц.Гуркина О.А., асс. Сучков В.В."
,15.20-16.50,,
,17.00-18.30,,
"ца
и
н
Пят",8.30-10.00,,"лек. ПРАВОВЕДЕНИЕ доцент Кулагина О.В. УК№2, 248"
,,,* * *
,10.10-11.40,пр.з. Зоогигиена 439 доц.Кузнецов М.Ю.,"пр.з. Правоведение УК№2, 248 доц.Кулагина О.В."
,12.00-13.30,лек.ЗООГИГИЕНА доцент Кузнецов М.Ю. 439,п е р е е з д
,,лек.ЭТОЛОГИЯ С ОСНОВАМИ ЗООПСИХОЛОГИИ доцент Ульянов Р.В. С-253,
,13.40-15.10,* * *,* * *
,,пр.з. Этология с основами зоопсихологии С-273 асс.Лекомцева К.Ф.,лек. ЭКОНОМИКА доцент Васильева О.А. С-208
,15.20-16.50,,* * *
,,,пр.з. Экономика С-208 доц.Васильева О.А.
"ота
б
б
у
С",8.30-10.00,,
,10.10-11.40,,
,12.00-13.30,,
,13.40-15.10,,
,,,
