"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт генетики и агрономии 3 курс",column_1,column_2,column_3,column_4
Дни,Часы,Б-А-301 26.01.2026,Б-А-302 26.01.2026,Б-А-303 26.01.2026
"к
и
н
ь
л
де
не
о
П",8.30-10.00,,,"лаб. Растениеводство
Четвериков 708"
,10.10-11.40,лек.ОРОШАЕМ.ЗЕМЛЕДЕЛИЕ проф.Солодовников А.П. 603,"лек. ОСНОВЫ ВИРУСОЛОГИИ
доц. Суминова Н.Б. 351","лек. СЕЛЕКЦИЯ И СЕМЕНОВОДСТВО ПОЛЕВЫХ КУЛЬТУР
доц. Степанова Н.В. 903"
,,,,
,12.00-13.30,"лек. СЕЛЕКЦИЯ И СЕМЕНОВОДСТВО ПОЛЕВЫХ КУЛЬТУР
доц. Субботин А.Г. 702","лек. ЭКОЛОГИЗАЦИЯ ХИМИЧЕСКОЙ ЗАЩИТЫ
доц. Суминова Н.Б. 424","лаб.з. Технология хранения семенного материала
Деревягин С.С. 708"
,13.40-15.10,"пр.з. Общая физическая подготовка
Кузьмин А.М.","пр.з. Общая физическая подготовка
Пяткина Н.А.","пр.з. Общая физическая подготовка
Фролова Л.В."
,15.20-16.50,,,
,,"лаб.з. Селекция и семеноводство Денисова, Степанова 905, 903",,
"к
и
н
р
о
т
В",8.30-10.00,"лаб.з. Защита растений от вред. и болезней
Критская Е.Е., Новиков Ю.П., Еськов И.Д. 424, 430",,
,10.10-11.40,"лаб. Сельскохозяйственная биотехнология
Денисова А.Ю., Каргополова К.Ю. 905, 903","лаб. Основы вирусологии
Лихацкая С.Г., Суминова Н.Б. 430, 511","лек. ТЕХНОЛОГИЯ ХРАНЕНИЯ
доц. Степанова Н.В. 708"
,12.00-13.30,лек. РАСТЕНИЕВОДСТВО РАСТЕНИЕВОДСТВО РАСТЕНИЕВОДСТВО доц. Субботин А.Г. 702,,
,13.40-15.10,лек. ОСНОВЫ НАУЧНЫХ ИССЛЕДОВАНИЙ В АГРОНОМИИ доц. Субботин А.Г. 702,,
,15.20-16.50,,"лаб.з. Основы науч. иссл. в агрономии
Субботин А.Г., Денисова А.Ю. 708, 702","лаб.з. Защита растений семенных посевов
Лихацкая С.Г. 424"
,17.00-18.30,,,
"а
д
ре
С",8.30-10.00,,,"пр.з. Частная генетика
Каргополова К.Ю. АГРОЦЕНТР, корпус ФТИК, ауд. 1"
,10.10-11.40,"лаб.з. Основы науч. иссл. в агрономии
Субботин А.Г., Денисова А.Ю. 708, 702","лаб.з. Фитосанитарная экспертиза
Суминова Н.Б., Критская Е.Е. 430","лаб. Селекция и семеноводство
Степанова Н.В. АГРОЦЕНТР, корпус ФТИК, ауд. 1"
,12.00-13.30,"пр.з. Общая физическая подготовка
Кузьмин А.М.","пр.з. Общая физическая подготовка
Пяткина М.А.","пр.з. Общая физическая подготовка
Фролова Л.В."
,13.40-15.10,"лаб.з. Растениеводство
Субботин А.Г., Тобольнов Д.А. 708, 903","лек. ФИТОСАНИТАРНАЯ ЭКСПЕРТИЗА
доц. Критская Е.Е., Лялина Е.В. 424",
,15.20-16.50,,"лаб.з. Методы диагностики вред. орг.
Лихацкая С.Г. , Николайченко Н.Н. 424",
"рг
ве
т
Че",8.30-10.00,лек. СЕЛЬСКОХОЗЯЙСТВЕННАЯ БИОТЕХНОЛОГИЯ доц. Каргополова К.Ю. ауд. 905,,
,10.10-11.40,"лек. ЗАЩИТА РАСТЕНИЙ ОТ ВРЕДИТЕЛЕЙ И БОЛЕЗНЕЙ
доц. Критская Е.Е. 424","лаб.з. Экологизация химической защиты
Суминова Н.Б., Еськов И.Д. 351","лек. ЧАСТНАЯ ГЕНЕТИКА
доц. Степанова Н.В. 713"
,12.00-13.30,"лаб.з. Селекция и семеноводство полевых культур
Денисова А.Ю., Степанова Н.В. 905, 903","лек. МЕТОДЫ ДИАГНОСТИКИ ВРЕДНЫХ ОРГАНИЗМОВ
доц. Лихацкая С.Г. 424","лаб. Сельскохозяйственная биотехнология
Каргополова К.Ю. 713"
,13.40-15.10,"лаб.з.Орошаемое земледелие
Солодовников А.П., Молчанова Н.П. 603, 608",,"лек. ЗАЩИТА РАСТЕНИЙ СЕМЕННЫХ ПОСЕВОВ
доц. Лихацкая С.Г. 424"
,,,"лаб.з. Экологизация химической защиты Суминова, Еськов 511, 510",
"а
ц
и
н
т
я
П",8.30-10.00,"лаб.з. Системы земледелия
Полетаев И.С., Преймак С.А. 603, 610",,"лаб.з. Основы науч. иссл. в агрономии
Денисова А.Ю. 708"
,10.10-11.40,"лаб.з. Защита растений Критская, Новиков, Еськов 430","лаб.з. Сельскохозяйственная биотехнология
Каргополова К.Ю. , Денисова А.Ю. 708",лаб.з. Защита растений семенных посевов Лихацкая С.Г. 347
,,лек.СИСТЕМЫ ЗЕМЛЕДЕЛИЯ доц.Полетаев И.С. 610,,лаб.з Селекция и семеноводство Степанова 905
,12.00-13.30,,"лаб.з. Растениеводство
Тобольнов Д.А., Беляева А.А. 702",
,13.40-15.10,,,
"а
т
о
б
б
у
С",8.30-10.00,,,
,10.10-11.40,,,
,,,,
