column_0,column_1,column_2,column_3
,,,
"Расписание занятий на 2 семестр 2025-2026 учебного года
институт генетики и агрономии 2 курс",,,
"а
т
а
Д","и
н
Д",Часы,М-ЭП-21
"а
т
р
а
м
9
0","к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,
,,15.20-16.50,
,,17.00-18.30,
,,18.40-20.10,
"а
т
р
а
м
0
1","к
и
н
р
о
т
В",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,
,,15.20-16.50,"пр. з. Экологический аудит хозяйственной деятельности
доц. Шевченко Е. Н. ауд. 334"
,,17.00-18.30,"пр. з. Экологический аудит хозяйственной деятельности
доц. Шевченко Е. Н. ауд. 334"
,,18.40-20.10,
"а
т
р
а
м
1
1","а
д
е
р
С",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,"лек. ЭКОЛОГИЧЕСКИЙ МЕНЕДЖМЕНТ
проф. Колотырин К. П. ауд. 255"
,,13.40-15.10,"ЗАЧЁТ ГиС в экологии и природопользовании
доц. Пушкина Е. Г. ауд. 1004"
,,15.20-16.50,"пр. з. Экологический контроль
доц. Мохонько Ю. М. ауд. 328"
,,17.00-18.30,"пр. з. Экологический контроль
доц. Мохонько Ю. М. ауд. 328"
,,18.40-20.10,
"а
т
р
а
м
2
1","г
р
е
в
т
е
Ч",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,
,,15.20-16.50,
,,17.00-18.30,"ЗАЧЁТ Экологический аудит хозяйственной деятельности
доц. Шевченко Е. Н. ауд. 329"
,,18.40-20.10,"пр. з. Экологическая политика предприятия
доц. Шевченко Е. Н. ауд. 329"
"а
т
р
а
м
3
1","а
ц
и
н
т
я
П",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,"пр. з. Экологическое право
доц. Рубанова М. Е. ауд. 253"
,,15.20-16.50,"лек. ОЦЕНКА ВОЗДЕЙСТВИЯ НА ОКРУЖАЮЩУЮ СРЕДУ
доц. Мохонько Ю. М. ауд. 334"
,,17.00-18.30,"пр. з. Экологический контроль
доц. Мохонько Ю. М. ауд. 334"
,,18.40-20.10,"пр. з. Экологический контроль
доц. Мохонько Ю. М. ауд. 334"
"а
т
р
а
м
4
1","а
т
о
б
б
у
С",8.30-10.00,"пр. з. Экологическая политика предприятия
доц. Шевченко Е. Н. ауд. 338"
,,10.10-11.40,"ЗАЧЁТ Экологическая политика предпрятия
доц. Шевченко Е. Н. ауд. 338"
,,12.00-13.30,"лек. ЭКОЛОГИЧЕСКОЕ СТРАХОВАНИЕ
доц. Шевченко Е. Н. ауд. 338"
,,13.40-15.10,"лек. ЭКОЛОГИЧЕСКОЕ СТРАХОВАНИЕ
доц. Шевченко Е. Н. ауд. 338"
,,,
