"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт ветеринарной медицины и фармации 2 курс Занятия с 02.02 26 г.",column_1,column_2,column_3,column_4,column_5,column_6
,13.40-15.10,лаб.з. Гигиена 439 доц.Кузнецов М.Ю.,,"лаб.з. Разведение 406, 410
асс.Стрильчук А.А.,асс.Васильев А.В.","лаб.з Физиология и этология животных
С-268,С-273 доц. Клюкин С.Д., доц. Ульянов Р.В.",лаб.з.Вет.микробиология 1 п/г 310 доц.Иващенко С.В.
,15.20-16.50,"лаб.з Физиология и этология животных
С-268 доц.Савина С.В.",,,,
,17.00-18.30,,,,,
"а
ц
и
н
т
я
П",8.30-10.00,лаб.з. Биохимия 516 доц.Смутнев П.В.,"лаб.з.Кормление 2п/г 435 Сивохина
лаб.з. Гигиена 1п/г 439 Кузнецов",,* * *,лаб.з. Биохимия 530 1п/г проф.Никифоров А.К.
,,* * *,,,лаб.з. Биохимия 1п/г 526 доц.Смутнев П.В.,* * *
,10.10-11.40,"лаб.з. Разведение 406
асс.Васильев А.В.",пр.з.Управление проектами С-305а проф.Панфилов А.В.,,"лаб.з. Биохимия 1п/г 516 доц.Смутнев П.В.
лаб.з.Вет.микробиология 2 п/г 310 доц.Иващенко С.В.","лаб.з Физиология и этология животных
С-268,С-273 доц. Клюкин С.Д., доц.Савина С.В."
,,,пр.з.Социология 435 доц.Булгаков С.В.,,,
,12.00-13.30,лек. У П Р А В Л Е Н И Е П Р О Е К Т А М И профессор Панфилов А.В ауд.7,,,,
,,лек. С О Ц И О Л О Г И Я доцент Булгаков С.В. ауд. 7,,,,
,13.40-15.10,пр.з.Управление проектами 214 проф.Панфилов А.В.,"лаб.з.Кормление 1п/г 435 Сивохина
лаб.з. Гигиена 2п/г 439 Кузнецов","лаб.з Физиология и этология животных
С-268,С-273 доц. Клюкин С.Д., доц.Савина С.В.","лаб.з. Биохимия 2п/г 526 доц.Смутнев П.В.
лаб.з.Вет.микробиология 1 п/г 310 доц.Иващенко С.В.","лаб.з. Разведение 406, 410
асс.Стрильчук А.А.,асс.Васильев А.В."
,,пр.з.Социология 214 доц.Булгаков С.В.,,,,
,15.20-16.50,,,,лаб.з. Биохимия 2п/г 526 доц.Смутнев П.В.,
,,,,,* * *,
,17.00-18.30,,,,,
"а
т
о
б
б
у
С",8.30-10.00,,,,,
,10.10-11.40,,,,,
,12.00-13.30,,,,,
,,,,,,
