column_0,column_1,column_2,column_3
,,,
"Расписание занятий на 2 семестр 2025-2026 учебного года
институт генетики и агрономии 2 курс
т а и",,,
"а
Д","н
Д",Часы,М-ЭП-21
"а
т
р
а
м
6
1","к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,"пр.з. Экологический менеджмент
проф. Колотырин К. П. ауд. 341"
,,13.40-15.10,"лек. ЭКОЛОГИЧЕСКОЕ ПЛАНИРОВАНИЕ
доц. Шевченко Е. Н. ауд. 334"
,,15.20-16.50,"пр. з. Экологическое право
доц. Рубанова М. Е. ауд. 253"
,,17.00-18.30,"лек. ОЦЕНКА ВОЗДЕЙСТВИЯ НА ОКРУЖАЮЩУЮ СРЕДУ
доц. Мохонько Ю. М. ауд. 329"
,,18.40-20.10,
"а
т
р
а
м
7
1","к
и
н
р
о
т
В",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,
,,15.20-16.50,"ЗАЧЕТ Экологический контроль
доц. Мохонько Ю. М. 329"
,,17.00-18.30,"лек. ЭКОЛОГИЧЕСКИЙ КОНСАЛТИНГ
доц. Пономарева А.Л. 329"
,,18.40-20.10,"лек. ЭКОЛОГИЧСЕКИЙ МЕНЕДЖМЕНТ
проф. Колотырин К. П. 316"
"а
т
р
а
м
8
1","а
д
е
р
С",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,"пр.з. ЭКОЛОГИЧЕСКОЕ СТРАХОВАНИЕ
доц. Шевченко Е. Н. ауд. 329"
,,15.20-16.50,"пр.з. ЭКОЛОГИЧЕСКОЕ СТРАХОВАНИЕ
доц. Шевченко Е. Н. ауд. 329"
,,17.00-18.30,"пр.з. ОЦЕНКА ВОЗДЕЙСТВИЯ НА ОКРУЖАЮЩУЮ СРЕДУ
доц. Мохонько Ю. М. ауд. 329"
,,18.40-20.10,"пр.з. ЭКОЛОГИЧЕСКОЕ ПЛАНИРОВАНИЕ
доц. Сагатов М.А. 329"
"а
т
р
а
м
9
1","г
р
е
в
т
е
Ч",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,"лек. ЭКОЛОГИЧСЕКИЙ МЕНЕДЖМЕНТ
проф. Колотырин К. П. 341"
,,15.20-16.50,"лек. ЭКОЛОГИЧЕСКАЯ БЕЗОПАСНОСТЬ
доц. Мохонько Ю.М. 334"
,,17.00-18.30,"ЗАЧЁТ Экологическое страхование
доц. Шевченко Е. Н. ауд. 334"
,,18.40-20.10,"лек. ЭКОЛОГИЧЕСКОЕ НОРМИРОВАНИЕ
доц. Шевченко Е. Н. ауд. 334"
"а
т
р
а
м
0
2","а
ц
и
н
т
я
П",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,"лек. ЭКОЛОГИЧСЕКИЙ МЕНЕДЖМЕНТ
проф. Колотырин К. П. 347"
,,15.20-16.50,"пр.з. ЭКОЛОГИЧЕСКИЙ КОНСАЛТИНГ
доц. Пономарева А.Л. 329"
,,17.00-18.30,"пр. з. Экологическое нормирование
доц. Шевченко Е. Н. 329"
,,18.40-20.10,"пр. з. Экологическое нормирование
доц. Шевченко Е. Н. 329"
"а
т
р
а
м
1
2","а
т
о
б
б
у
С",8.30-10.00,"лек. ЭКОЛОГИЧЕСКОЕ ПЛАНИРОВАНИЕ
доц. Шевченко Е. Н. ауд. 329"
,,10.10-11.40,"лек. ЭКОЛОГИЧЕСКОЕ НОРМИРОВАНИЕ
доц. Шевченко Е. Н. ауд. 329"
,,12.00-13.30,"лек. ОЦЕНКА ВОЗДЕЙСТВИЯ НА ОКРУЖАЮЩУЮ СРЕДУ
доц. Мохонько Ю. М. ауд. 329"
,,13.40-15.10,"лек. ОЦЕНКА ВОЗДЕЙСТВИЯ НА ОКРУЖАЮЩУЮ СРЕДУ
доц. Мохонько Ю. М. ауд. 329"
,,,
