"Расписание занятий
для студентов 2 курса 2025-2026 учебного года.
Институт генетики и агрономии",column_1,column_2,column_3
Дни,Часы,Б-ЗиК-21,Б-ЗиК-22
"а
т
р
а
м
3
2
к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,,
,10.10-11.40,"лек. ИНЖЕНЕРНАЯ ГРАФИКА И ТОПОГРАФИЧЕСКОЕ ЧЕРЧЕНИЕ
доц. Перетятько А. В. УК№2 ауд. 313",
,12.00-13.30,"лек. ИНЖЕНЕРНАЯ ФИЗИКА
доц. Жиздюк А. А. УК№2 ауд. 244",
,13.40-15.10,"пр. з. Безопасность жизнедеятельности
доц. Удалова О. Г. УК№2 ауд. 248","1 пг. Иностранный язык ст. п. Раздобарова М. Н. ауд. 450
2 пг. Иностранный язык Завьялова М. С. УК№2 ауд. 516"
,15.20-16.50,"пр. з. Инженерная физика
доц. Жиздюк А. А. УК№2 ауд. 244","1 пг. Иностранный язык ст. п. Раздобарова М. Н. ауд. 450
2 пг. Иностранный язык Завьялова М. С. УК№2 ауд. 516"
,17.00-18.30,,
"а
т
р
а
м
4
2
к
и
н
р
о
т
В",8.30-10.00,"пр. з. Иностранный язык
ст. п. Раздобарова М. Н., ст. п. Бормосова Н. Е. ауд. 450, 452",
,10.10-11.40,"пр. з. Иностранный язык
ст. п. Раздобарова М. Н., ст. п. Бормосова Н. Е. ауд. 450, 452",
,12.00-13.30,"пр. з. Прикладная математика в землеустройстве
и кадастрах доц. Чумакова С. В. ауд. 450",
,13.40-15.10,"пр. з. Прикладная математика в землеустройстве
и кадастрах доц. Чумакова С. В. ауд. 450","пр. з. Основы градостроительства
доц. Царенко А. А., ст. п. Боброва Ю. И. ауд. 1003, 1008"
,15.20-16.50,,"пр. з. Основы градостроительства
доц. Царенко А. А., ст. п. Боброва Ю. И. ауд. 1003, 1008"
,17.00-18.30,,"пр. з. Прикладная математика в землеустройстве
и кадастрах доц. Чумакова С. В. ауд. 1003"
,18.40-20.10,,"пр. з. Прикладная математика в землеустройстве
и кадастрах доц. Чумакова С. В. ауд. 1003"
"а
т
р
а
м
5
2
а
д
е
р
С",8.30-10.00,,
,10.10-11.40,"пр. з. История России
проф. Шалаева Н. В. ауд. 535",
,12.00-13.30,"пр. з. История России
проф. Шалаева Н. В. ауд. 535","пр. з. Иностранный язык
ст. п. Раздобарова М. Н., Завьялова М. С. УК№2 ауд. 516, 512"
,13.40-15.10,"лек. ИНЖЕНЕРНАЯ ФИЗИКА
доц. Жиздюк А. А. УК№2 ауд. 244",
,15.20-16.50,"пр. з. Инженерная физика
доц. Жиздюк А. А. УК№2 ауд. 244","пр. з. Инженерная физика
доц. Везиров А. О. УК№2 ауд. 244"
,17.00-18.30,,"пр. з. Инженерная физика
доц. Везиров А. О. УК№2 ауд. 244"
"а
т
р
а
м
6
2
г
р
е
в
т
е
Ч",8.30-10.00,"пр. з. Специальная педагогика и специальная
психология УК№2 ауд. 248",
,10.10-11.40,"пр. з. Специальная педагогика и специальная
психология УК№2 ауд. 248","пр. з. История России
проф. Шалаева Н. В. ауд. 294"
,12.00-13.30,"пр. з. Техническая инвентаризация объектов недвиж.
ст. п. Дормидонтова Н. В.ауд. 1003","пр. з. История России
проф. Шалаева Н. В. ауд. 294"
,13.40-15.10,"пр. з. Техническая инвентаризация объектов недвиж.
ст. п. Дормидонтова Н. В.ауд. 1003","пр. з. Специальная педагогика и специальная
психология УК№2 ауд. 248"
,15.20-16.50,,"пр. з. Безопасность жизнедеятельности
доц. Удалова О. Г. УК№2 ауд. 248"
,17.00-18.30,,
,18.40-20.10,,
"а
т
р
а
м
7
2
а
ц
и
н
т
я
П",8.30-10.00,,
,10.10-11.40,,"пр. з. Техническая инвентаризация объектов недвиж.
ст. п. Боброва Ю. И. ауд. 1008"
,12.00-13.30,"пр. з. Правоведение
доц. Корышева М. В. ауд. 351","пр. з. Техническая инвентаризация объектов недвиж.
ст. п. Боброва Ю. И. ауд. 1008"
,13.40-15.10,"С 13:40 ЭКЗАМЕН Правоведение
доц. Корышева М. В. ауд. 351","пр. з. Основы градостроительства
доц. Царенко А. А., ст. п. Боброва Ю. И. ауд. 1008, 1009"
,15.20-16.50,"пр. з. Техническая инвентаризация объектов недвиж.
ст. п. Дормидонтова Н. В.ауд. 1008","С 15:20 ЗАЧЁТ Основы градостроительства
доц. Царенко А. А. ауд. 1009"
,17.00-18.30,"пр. з. Основы градостроительства
доц. Царенко А. А., ст. п. Боброва Ю. И. ауд. 1003, 1008",
"а
т
р
а
м
8
2
а
т
о
б
б
у
С",8.30-10.00,"пр.з.Инженерная графика и топографическое черчение
доц. Перетятько А. В. УК№2 ауд. 315","пр.з.Инженерная графика и топографическое черчение
доц. Леонтьев А. А. УК№2 ауд. 313"
,10.10-11.40,"пр.з.Инженерная графика и топографическое черчение
доц. Перетятько А. В. УК№2 ауд. 315","пр.з.Инженерная графика и топографическое черчение
доц. Леонтьев А. А. УК№2 ауд. 313"
,12.00-13.30,"С 12:00 ЗАЧЁТ Инженерная графика и топографическое
черчение доц. Перетятько А. В. УК№2 ауд 315",
,13.40-15.10,,"С 13:40 ЗАЧЁТ Инженерная графика и топографическое
черчение доц. Перетятько А. В. УК№2 ауд 315"
,15.20-16.50,,
,,,
