column_0,column_1,column_2,column_3
,,,
"Расписание занятий на 2 семестр 2025-2026 учебного года
институт генетики и агрономии 2 курс",,,
"а
т
а
Д","и
н
Д",Часы,М-ЭП-21
"а
т
р
а
м
2
0","к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,"лаб.з. ГиС в экологии и природопользовании
ст. п. Боброва Ю. И. ауд. 533"
,,15.20-16.50,"лек. ЭКОЛОГИЧЕСКАЯ ПОЛИТИКА ПРЕДПРИЯТИЯ
доц. Шевченко Е. Н. ауд. 338"
,,17.00-18.30,"лек. ЭКОЛОГИЧЕСКАЯ ПОЛИТИКА ПРЕДПРИЯТИЯ
доц. Шевченко Е. Н. ауд. 338"
,,18.40-20.10,"пр. з. Экологический аудит хозяйственной деятельности
доц. Шевченко Е. Н. ауд. 338"
"а
т
р
а
м
3
0","к
и
н
р
о
т
В",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,"лаб.з. ГиС в экологии и природопользовании
ст. п. Боброва Ю. И. ауд. 530"
,,15.20-16.50,"лаб.з. ГиС в экологии и природопользовании
ст. п. Боброва Ю. И. ауд. 530"
,,17.00-18.30,"пр. з. Экологический аудит хозяйственной деятельности
доц. Шевченко Е. Н. ауд. 338"
,,18.40-20.10,"пр. з. Экологический аудит хозяйственной деятельности
доц. Шевченко Е. Н. ауд. 338"
"а
т
р
а
м
4
0","а
д
е
р
С",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,
,,15.20-16.50,"лек. ЭКОЛОГИЧЕСКИЙ КОНТРОЛЬ
доц. Мохонько Ю. М. ауд. 338"
,,17.00-18.30,"лек. ЭКОЛОГИЧЕСКИЙ КОНТРОЛЬ
доц. Мохонько Ю. М. ауд. 338"
,,18.40-20.10,"пр. з. Экологический аудит хозяйственной деятельности
доц. Шевченко Е. Н. ауд. 338"
"а
т
р
а
м
5
0","г
р
е
в
т
е
Ч",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,"лек. ЭКОЛОГИЧЕСКИЙ МЕНДЖМЕНТ
проф. Колотырин К. П. ауд. 345"
,,15.20-16.50,"лек. ЭКОЛОГИЧЕСКИЙ КОНТРОЛЬ
доц. Мохонько Ю. М. ауд. 334"
,,17.00-18.30,"лек. ЭКОЛОГИЧЕСКИЙ КОНТРОЛЬ
доц. Мохонько Ю. М. ауд. 334"
,,18.40-20.10,"пр. з. Экологический контроль
доц. Мохонько Ю. М. ауд. 334"
"а
т
р
а
м
6
0","а
ц
и
н
т
я
П",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,"лек. ЭКОЛОГИЧСЕКИЙ МЕНЕДЖМЕНТ
проф. Колотырин К. П. ауд. 410"
,,15.20-16.50,"лек. ЭКОЛОГИЧЕСКОЕ ПРАВО
доц. Рубанова М. Е. ауд. 410"
,,17.00-18.30,"пр. з. Экологическая политика предприятия
доц. Шевченко Е. Н. ауд. 338"
,,18.40-20.10,"пр. з. Экологическая политика предприятия
доц. Шевченко Е. Н. ауд. 338"
"а
т
р
а
м
7
0","а
т
о
б
б
у
С",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,,
