column_0,column_1,column_2,column_3
,,,
"Расписание занятий на 2 семестр 2025-2026 учебного года
институт агробизнеса 2 курс",,,
"а
т
а
Д","и
н
Д",Часы,М-Э-21
"а
т
р
а
м
9
0","к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,
,,15.20-16.50,
,,17.00-18.30,
"а
т
р
а
м
0
1","к
и
н
р
о
т
В",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,"пр. з. Аудит (продвинутый уровень)
ст. п. Шаронова Е. В. ауд. 134 к"
,,13.40-15.10,"пр. з. Аудит (продвинутый уровень)
ст. п. Шаронова Е. В. ауд. 245"
,,15.20-16.50,"пр. з. Бюджетирование в системе контроллинга
доц. Новосёлова С. А. ауд. 241"
,,17.00-18.30,"пр. з. Международные стандарты финансового учёта и отчётности
доц. Лысова Т. А. ауд. 241"
"а
т
р
а
м
1
1","а
д
е
р
С",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,"пр. з. Международные стандарты финансового учёта и отчётности
доц. Лысова Т. А. ауд. 602"
,,13.40-15.10,"лек. ЭКОНОМИЧЕСКИЙ АНАЛИЗ (ПРОДВИНУТЫЙ УРОВЕНЬ)
доц. Кондак В. В. ауд. 134"
,,15.20-16.50,"пр. з. Бюджетирование в системе контроллинга
доц. Новосёлова С. А. ауд. 242"
,,17.00-18.30,"пр. з. Аудит (продвинутый уровень)
ст. п. Шаронова Е. В. ауд. 241"
"а
т
р
а
м
2
1","г
р
е
в
т
е
Ч",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,"пр. з. Экономический анализ (продвинутый уровень)
доц. Шарикова И. В., асс. Кувшинова Е. А. ауд. 341"
,,15.20-16.50,"лек. ЭКОНОМИЧЕСКИЙ АНАЛИЗ (ПРОДВИНУТЫЙ УРОВЕНЬ)
доц. Кондак В. В. ауд. 232"
,,17.00-18.30,"лек. БУХГАЛТЕРСКИЙ УЧЁТ, АНАЛИЗ И АУДИТ ВЭД
доц. Лысова Т. А. ауд. 232"
"а
т
р
а
м
3
1","а
ц
и
н
т
я
П",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,"пр. з. Бухгалтерская экспертиза и учёт в условиях банкротства
доц. Кондак В. В. ауд. 134"
,,13.40-15.10,"лек. ЭКОНОМИЧЕСКИЙ АНАЛИЗ (ПРОДВИНУТЫЙ УРОВЕНЬ)
доц. Кондак В. В. ауд. 134 к."
,,15.20-16.50,"лек. БУХГАЛТЕРСКАЯ ЭКСПЕРТИЗА И УЧЁТ В УСЛОВИЯХ БАНКРОТСТВА
доц. Кондак В. В. ауд. 242"
,,17.00-18.30,"пр. з. Бухгалтерский учёт, анализ и аудит внешнеэкономической деятельности
доц. Лысова Т. А. ауд. 242"
"а
т
р
а
м
4
1","а
т
о
б
б
у
С",8.30-10.00,
,,10.10-11.40,"пр. з. Бюджетирование в системе контроллинга
доц. Новосёлова С. А. ауд. 257"
,,12.00-13.30,"пр. з. Бюджетирование в системе контроллинга
доц. Новосёлова С. А. ауд. 257"
,,13.40-15.10,"ЗАЧЁТ Бюджетирование в системе контроллинга
доц. Новосёлова С. А. ауд. 257"
,,,
