column_0,column_1,column_2,column_3
,,,
"Расписание занятий на 2 семестр 2025-2026 учебного года
институт генетики и агрономии 2 курс",,,
"а
т
а
Д","и
н
Д",Часы,М-ЭП-21
"я
л
а
р
в
е
ф
3
2","к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,
,,15.20-16.50,
,,17.00-18.30,
,,18.40-20.10,
"я
л
а
р
в
е
ф
4
2","к
и
н
р
о
т
В",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,
,,15.20-16.50,"лек. ЭКОЛОГИЧЕСКИЙ АУДИТ ХОЗЯЙСТВЕННОЙ ДЕЯТЕЛЬНОСТИ
доц. Шевченко Е. Н. ауд. 328"
,,17.00-18.30,"лек. ЭКОЛОГИЧЕСКИЙ АУДИТ ХОЗЯЙСТВЕННОЙ ДЕЯТЕЛЬНОСТИ
доц. Шевченко Е. Н. ауд. 328"
,,18.40-20.10,"лек. ЭКОЛОГИЧЕСКИЙ АУДИТ ХОЗЯЙСТВЕННОЙ ДЕЯТЕЛЬНОСТИ
доц. Шевченко Е. Н. ауд. 328"
"я
л
а
р
в
е
ф
5
2","а
д
е
р
С",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,"лек. ГИС В ЭКОЛОГИИ И ПРИРОДОПОЛЬЗОВАНИИ
доц. Пушкина Е. Г. ауд. 533"
,,15.20-16.50,"лек. ЭКОЛОГИЧЕСКИЙ АУДИТ ХОЗЯЙСТВЕННОЙ ДЕЯТЕЛЬНОСТИ
доц. Шевченко Е. Н. ауд. 446"
,,17.00-18.30,"лек. ЭКОЛОГИЧЕСКАЯ ПОЛИТИКА ПРЕДПРИЯТИЯ
доц. Шевченко Е. Н. ауд. 446"
,,18.40-20.10,
"я
л
а
р
в
е
ф
6
2","г
р
е
в
т
е
Ч",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,"лек. ГИС В ЭКОЛОГИИ И ПРИРОДОПОЛЬЗОВАНИИ
доц. Пушкина Е. Г. ауд. 1003"
,,15.20-16.50,"лек. ГИС В ЭКОЛОГИИ И ПРИРОДОПОЛЬЗОВАНИИ
доц. Пушкина Е. Г. ауд. 1003"
,,17.00-18.30,"лаб.з. ГиС в экологии и природопользовании
ст. п. Боброва Ю. И. ауд. 1003"
,,18.40-20.10,
"я
л
а
р
в
е
ф
7
2","а
ц
и
н
т
я
П",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,"лек. ЭКОЛОГИЧЕСКОЕ ПРАВО
доц. Рубанова М. Е. ауд. 422"
,,15.20-16.50,"лек. ЭКОЛОГИЧЕСКОЕ ПРАВО
доц. Рубанова М. Е. ауд. 422"
,,17.00-18.30,"лек. ЭКОЛОГИЧЕСКАЯ ПОЛИТИКА ПРЕДПРИЯТИЯ
доц. Шевченко Е. Н. ауд. 328"
,,18.40-20.10,
"я
л
а
р
в
е
ф
8
2","а
т
о
б
б
у
С",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,
,,,
