"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 1 курс",column_1,column_2
Дни,Часы,Б-ЛД-101 с 12.01.26
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,пр.з. выживаемость лесовода в экстремальных условиях Филиппов П.Б. 132
,,лек. ИСТОРИЯ РОССИИ доц. Котельников В.А. 202
,10.10-11.40,"пр.з. история лесного дела
Филиппов П.Б. 132"
,12.00-13.30,лек. ИСТОРИЯ ЛЕСНОГО ДЕЛА доц. Есков Д.В. 132
,,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"к
и
н
р
о
т
В",8.30-10.00,лек. ГЕОДЕЗИЯ доц. Прокопец Р.В. 532
,,лб.з. геодезия Прокопец Р.В. 532
,10.10-11.40,лек. ЭКОЛОГИЯ доц. Сагатов М.А. 132
,,лек. ВЫЖИВАЕМОСТЬ ЛЕСОВОДА В ЭКСТРЕМАЛЬНЫХ УСЛОВИЯХ доц. Есков Д.В. 134
,12.00-13.30,"пр.з. общая физическая подготовка
Бугров А.А. Сок"
,13.40-15.10,"пр.з. иностранный язык
Садовникова Е.В., Герасимова В.А., Зотеева Т.С. 511, 510, 512"
,15.20-16.50,"пр.з. иностранный язык Садовникова Е.В., Герасимова В.А., Зотеева Т.С. 511, 510, 512"
,,
,17.00-18.30,
"а
д
е
р
С",8.30-10.00,лек. БОЛЕЗНИ ДИКИХ ЖИВОТНЫХ И ПТИЦ доц. Зайцев С.С. 134
,,пр.з. болезни диких животных и птиц Зайцев С.С. 134
,10.10-11.40,"пр.з. история России
Слижевская М.Р. 307"
,12.00-13.30,"пр.з. экология
Аминева Т.С. 132"
,13.40-15.10,ЕДИНЫЙ КУРАТОРСКИЙ ЧАС
,15.20-16.50,
,17.00-18.30,
"г
р
е
в
т
е
Ч",8.30-10.00,
,10.10-11.40,"пр.з. общая физическая подготовка
Бугров А.А. Сок"
,12.00-13.30,"лек. ДЕНДРОЛОГИЯ
доц. Заигралова Г.Н. 134"
,13.40-15.10,"лаб.з. дендрология
Филиппов П.Б. 134"
,15.20-16.50,
,17.00-18.30,
"а
ц
и
н
т
я
П",8.30-10.00,
,10.10-11.40,
,,лек. БОТАНИКА доц. Шевченко Е.Н. ук 1 329
,12.00-13.30,"лаб.з. ботаника
Гулина Е.В. 329 ук1"
,13.40-15.10,лек. ПОЧВОВЕДЕНИЕ доц. Губов В.И. ук 1 341
,,лаб.з. почвоведение Губов В.И. Гераскина А.А. ук 1 341 351
,15.20-16.50,
,17.00-18.30,
,8.30-10.00,
"а
т
о
б
б
у
С",10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,,
