"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 2 курс",column_1,column_2
Дни,Часы,Б-СТ-201 с 26.01.26
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,
,10.10-11.40,"лаб.з. безопасность жизнедеятельности
Надежкина Г.П. Ивченко О.А 518а 217"
,12.00-13.30,"лаб.з.материаловедение и технология конструкционных материалов
Павлов А.В. Березкин А.С. 421 423"
,13.40-15.10,лек. МЕХАНИКА ЖИДКОСТИ И ГАЗА доц. Миркина Е.Н. ГЛ-5
,,лек. МАТЕРИАЛОВЕДЕНИЕ И ТЕХНОЛОГИЯ КОНСТРУКЦИОННЫХ МАТЕРИАЛОВ доц. Павлов А.В. 423
,15.20-16.50,
,17.00-18.30,
"к
и
н
р
о
т
В",8.30-10.00,"пр.з. правоведение
Шмыгина О.Н. 249"
,10.10-11.40,лек. ПРАВОВЕДЕНИЕ доц. Шмыгина О.Н. 249
,,
,12.00-13.30,"пр.з. общая физическая подготовка
Шишкина Т.Г. сок"
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"а
д
е
р
С",8.30-10.00,лек. СОЦИОЛОГИЯ проф. Дудникова Е.Б. 248
,,пр.з. социология Дудникова Е.Б. 248
,10.10-11.40,лек.БЕЗОПАСНОСТЬ ЖИЗНЕДЕЯТЕЛЬНОСТИ доц.Надежкина Г.П. 217
,,лек. ПСИХОЛОГИЯ РАБОТЫ В МАЛЫХ ГРУППАХ доц.Рыжкова И.В.111
,12.00-13.30,"пр.з. психология работы в малых группах
Рыжкова И.В. 111"
,13.40-15.10,"пр.з. общая физическая подготовка
Шишкина Т.Г. сок до 06.03.26"
,15.20-16.50,
,17.00-18.30,
"г
р
е
в
т
е
Ч",8.30-10.00,
,10.10-11.40,лек.СОПРОТИВЛЕНИЕ МАТЕРИАЛОВ доц.Васильчиков В.В.40
,,лек. ВОДОСНАБЖЕНИЕ И ВОДООТВЕДЕНИЕ С ОСНОВАМИ ГИДРАВЛИКИ доц. Аржанухина Е.В. 532
,12.00-13.30,"лаб.з. водоснабжение и водоотведение с основами гидравлики
Аржанухина Е.В. Трушин Ю.Е. 532"
,13.40-15.10,"лаб.з. механика жидкости и газа
Миркина Е.Н. Орлова С.С. ГЛ-5 ГЛ-4"
,15.20-16.50,
,17.00-18.30,
"а
ц
и
н
т
я
П",8.30-10.00,
,10.10-11.40,пр.з. сопротивление материалов Березкин А.С. 40
,,лб.з. сопротивление материалов Васильчиков В.В. Ершов С.В. 40
,12.00-13.30,лек.ТЕПЛОГАЗОСНАБЖЕНИЕ С ОСНОВАМИ ТЕПЛОТЕХНИКИ доц. Орлова С.С. 501а
,,пр.з. теплогазоснабжение с основами теплотехники Полещук А.А. 110
,13.40-15.10,"лаб.з. теплогазоснабжение с основами теплотехники
Полещук А.А. Мамедова Л. С. 110"
,15.20-16.50,
,17.00-18.30,
"а
т
о
б",8.30-10.00,
,10.10-11.40,
"б
у
С",12.00-13.30,
,13.40-15.10,
