"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 1 курс",column_1,column_2
Дни,Часы,М-АИ-РБ-104
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,
,10.10-11.40,
,,лек. ПРИМЕНЕНИЕ VR И AR ПРИ ПРОВЕДЕНИИ ТЕХНИЧЕСКОГО СЕРВИСА доц. Горбушин П.А. 529
,12.00-13.30,лек. АВТОМАТИЗАЦИЯ И РОБОТИЗАЦИЯ ТЕХНОЛОГИЧЕСКИХ ПРОЦЕССОВ В АПК доц. Евстафьев Д.П 300
,,пр.з. автоматизация и роботизация технологических процессов в АПК Кузнецов А.А. 300
,13.40-15.10,лаб.з. автоматизация и роботизация технологических процессов в АПК Евстафьев Д.П. 300
,,лек. ОСНОВЫ ПРОГРАММИРОВАНИЯ И ИСКУССТВЕННЫЙ ИНТЕЛЕКТ В АГРОРОБОТОТЕХНИКЕ доц. Ключиков А.В. 531
,15.20-16.50,пр.з. основы программирования и искусственный интелект в агроробототехнике Ключиков А.В. 531
,,лаб.з. основы программирования и искусственный интелект в агроробототехнике Ключиков А.В. 531
,17.00-18.30,
"к
и
н
р
о
т
В",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"а
д
е
р
С",8.30-10.00,
,10.10-11.40,
,12.00-13.30,"пр.з. современные проблемы науки и производства в агроинженерии
Демин Е.Е. 33"
,13.40-15.10,лек. СОВРЕМЕННЫЕ ПРОБЛЕМЫ НАУКИ И ПРОИЗВОДСТВА В АГРОИНЖЕНЕРИИ проф. Демин Е.Е. 33
,,лек. МЕТОДОЛОГИЯ И МЕТОДЫ ПРОВЕДЕНИЯ НАУЧНЫХ ИССЛЕДОВАНИЙ В АГРОИНЖЕНЕРИИ проф. Сафонов В.В. 118
,15.20-16.50,"пр.з. методология и методы проведения научных исследований в агроинженерии
Сафонов В.В. 118"
,17.00-18.30,пр.з. основы процесса взаимодействия рабочих органов агроробот.средств и комплексов Азизов И.Р. 531
,,лаб.з. основы процесса взаимодействия рабочих органов агроробот.средств и комплексов Азизов И.Р. 531
"г
р
е
в
т
е
Ч",8.30-10.00,
,10.10-11.40,
,12.00-13.30,лек. ОСНОВЫ ПРОЦЕССА ВЗАИМОДЕЙСТВИЯ РАБОЧИХ ОРГАНОВ доц. Русинов А.В.208
,,
,13.40-15.10,лаб.з. автоматизированное проектирование и расчет агроробототехнических средств и комплексов Горюнов Д.Г. 520
,,пр.з. автоматизированное проектирование и расчет агроробототехнических средств и комплексов Горюнов Д.Г. 520
,15.20-16.50,пр.з. применение VR и AR при проведении технического сервиса Исаев А.Д. 520
,,лаб.з. применение VR и AR при проведении технического сервиса Исаев А.Д 520
,17.00-18.30,лек.АВТОМАТИЗИРОВАННОЕ ПРОЕКТИРОВАНИЕ И РАСЧЕТ АГРОРОБОТОТЕХНИЧЕСКИХ СРЕДСТВ И КОМПЛЕКСОВ доц. Горюнов Д.Г.531
,,
"а
ц
и
н
т
я
П",8.30-10.00,
,10.10-11.40,лек.РОБОТОТЕХНИКА В ЖИВОТНОВОДСТВЕ доц. Васильчиков В.В. 140
,,
,12.00-13.30,пр.з. робототехника в животноводстве Березкин А.С. 140
,,лаб.з. робототехника в животноводстве Березкин А.С. 140
,13.40-15.10,"пр.з. теория управления агроробототехническими средствами и комплексами
Бахтиев Р.Н. 208"
,15.20-16.50,
,,лек. ТЕОРИЯ УПРАВЛЕНИЯ АГРОРОБОТОТЕХНИЧЕСКИМИ СРЕДСТВАМИ И КОМПЛЕКСАМИ доц. Бахтиев Р.Н. 208
,17.00-18.30,
,8.30-10.00,
"а
т
о
б
б
у
С",10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,,
