"Расписание занятий
для студентов 2 курса 2025-2026 учебного года.
Институт генетики и агрономии",column_1,column_2,column_3
Дни,Часы,Б-ЗиК-21,Б-ЗиК-22
"я
л
е
р
п
а
6
0
к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,,
,10.10-11.40,,
,12.00-13.30,"лаб.з. Геодезическое обеспчение кадастровых работ
ст. п. Дормидонтова Н. В., ст. п. Боброва Ю. И. ауд. 1004, 1009","С 12:00 ЗАЧЁТ Основы градостроительства
доц. Царенко А. А. ауд. 1008"
,13.40-15.10,,
,15.20-16.50,"С 15:20 ЭКЗАМЕН Геодезическое обеспечение
кадастровых работ доц. Андрющенко В. Ю. ауд. 1003","пр.з. Инженерная физика
доц. Везиров А. О. УК№2 ауд. 240"
,17.00-18.30,,"С 17:00 ЭКЗАМЕН Инженерная физика
доц. Жиздюк А. А. УК№2 ауд. 240"
"я
л
е
р
п
а
7
0
к
и
н
р
о
т
В",8.30-10.00,,
,10.10-11.40,,
,12.00-13.30,,"лаб.з. Геодезическое обеспечение кадастровых работ
доц. Новиков В. Т., ст. п. Боброва Ю. И. ауд. 1003, 1004"
,13.40-15.10,"С 13:40 ЭКЗАМЕН Иностранный язык
доц. Мизюрова Э. Ю., доц. Иванова Л. М. УК№2 ауд. 510а, 512","С 13:40 ЭКЗАМЕН Геодезическое обеспечение
кадастровых работ доц. Андрющенко В. Ю. ауд. 1003"
,15.20-16.50,,"пр. з. Иностранный язык
ст. п. Раздобарова М. Н., Завьялова М. С. ауд. 450, 452"
,17.00-18.30,,
,18.40-20.10,,
"я
л
е
р
п
а
8
0
а
д
е
р
С",8.30-10.00,"пр. з. Психология работы в малых группах
УК№2 ауд. 308",
,10.10-11.40,"С 10:10 ЗАЧЁТ Психология работы в малых группах
УК№2 ауд. 308",
,12.00-13.30,"пр. з. Инженерная физика
доц. Жиздюк А. А. УК№2 ауд. 240",
,13.40-15.10,"С 13:40 ЭКЗАМЕН Инженерная физика
доц. Жиздюк А. А. УК№2 ауд. 240",
,15.20-16.50,,"пр. з. Иностранный язык
ст. п. Раздобарова М. Н., Завьялова М. С. УК№2 ауд. 507, 511"
,17.00-18.30,,"С 17:00 ЭКЗАМЕН Иностранный язык
доц. Мизюрова Э. Ю., доц. Иванова Л. М. УК№2 ауд. 510а, 512"
"я
л
е
р
п
а
9
0
г
р
е
в
т
е
Ч",8.30-10.00,"С 8:30 ЭКЗАМЕН История Росиии
проф. Шалаева Н. В. ауд. 251",
,10.10-11.40,,"пр. з. История России
проф. Шалаева Н. В. ауд. 251"
,12.00-13.30,,"С 12:00 ЭКЗАМЕН История России
проф. Шалаева Н. В. ауд. 251"
,13.40-15.10,,
,15.20-16.50,,
,17.00-18.30,,
,18.40-20.10,,
"я
л
е
р
п
а
0
1
а
ц
и
н
т
я
П",8.30-10.00,,
,10.10-11.40,,
,12.00-13.30,"пр. з. Философия
проф. Дудникова Е. Б. ауд. 294",
,13.40-15.10,"С 13:40 ЭКЗАМЕН Философия
проф. Дудникова Е. Б. ауд. 294",
,15.20-16.50,,"пр. з. Философия
проф. Дудникова Е. Б. ауд. 294"
,17.00-18.30,,"С 17:00 ЭКЗАМЕН Философия
проф. Дудникова Е. Б. ауд. 294"
"я
л
е
р
п
а
1
1
а
т
о
б
б
у
С",8.30-10.00,,
,10.10-11.40,,
,12.00-13.30,,
,13.40-15.10,,
,15.20-16.50,,
,,,
