"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 1 курс",column_1,column_2
Дни,Часы,Б-АИ-ТО-101 с 02.02.2026
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,лек. ОБЩЕЕ УСТРОЙСТВО ТРАКТОРОВ И АВТОМОБИЛЕЙ доц. Моисеев А.П. ауд. 202
,,пр.з. иностранный язык Садовникова Е.В. Завьялова М.С. ауд. 511 516
,10.10-11.40,"пр.з. иностранный язык
Садовникова Е.В. Завьялова М.С. ауд. 511 516"
,12.00-13.30,"пр.з. общая физическая подготовка
Шишкина Т.Г. сок"
,13.40-15.10,"лаб.з. общее устройство тракторов и автомобилей
Моисеев А.П. Лягина Л.А. ауд. 301 300"
,15.20-16.50,
,17.00-18.30,
"к
и
н
р
о
т
В",8.30-10.00,лек. ИНЖЕНЕРНАЯ ФИЗИКА ст. пр. Рыжова Е.В. ауд. 202
,,лек. ИСТОРИЯ РОССИИ доц. Котельников В.А. ауд. 202
,10.10-11.40,"пр.з. история России
Котельников В.А. ауд. 407"
,12.00-13.30,"пр.з. прикладная математика в агроинженерии
Селиванов Ф.С. Ауд. 127"
,13.40-15.10,лаб.з. информатика Васильчиков В.В. Жданов Д.А. ауд. 522 520
,,пр.з. механика Шишкин И.В. 434
,15.20-16.50,
,17.00-18.30,
"а
д
е
р
С",8.30-10.00,"лек. МЕХАНИКА
доц. Левченко Г.В. ауд. 202"
,10.10-11.40,"пр.з. общая физическая подготовка
Шишкина Т.Г. сок"
,12.00-13.30,"пр.з. начертательная геометрия и инженерная графика
Марадудин А.М. Перетятько А.В. ауд. 313"
,13.40-15.10,ЕДИНЫЙ КУРАТОРСКИЙ ЧАС
,15.20-16.50,
,17.00-18.30,
"г
р
е
в
т
е
Ч",8.30-10.00,"лек. ИНЖЕНЕРНАЯ ФИЗИКА
ст. пр. Рыжова Е.В. ауд. 202"
,10.10-11.40,"лаб.з. инженерная физика
Рыжова Е.В. Благодарова П.А. ауд. 240 244"
,12.00-13.30,лаб.з.инженерная физика Рыжова Е.В. Благодарова П.А. ауд. 240 244
,,пр.з.прикладная математика в агроинженерии Селиванов Ф.С. ауд. 127
,13.40-15.10,"пр.з. начертательная геометрия и инженерная графика
Марадудин А.М. Перетятько А.В. ауд. 313"
,15.20-16.50,
,17.00-18.30,
"а
ц
и
н
т
я
П",8.30-10.00,"лек. ИНФОРМАТИКА
доц. Васильчиков В.В. ауд. 202"
,10.10-11.40,"лаб.з. механика
Исмаилов И. Никитин Д.А. ауд.434, 437"
,12.00-13.30,"лаб.з. информатика
Васильчиков В.В. Жданов Д.А. ауд. 522 520"
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
,8.30-10.00,
"а
т
о
б
б
у
С",10.10-11.40,
,12.00-13.30,
,13.40-15.10,
