column_0,column_1,column_2,column_3
,,,
"Расписание занятий на 2 семестр 2025-2026 учебного года
институт генетики и агрономии 2 курс
а и
т",,,
"а
Д","н
Д",Часы,Б-ГиД-21
"а
т
р
а
м
6
1","к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,
,,10.10-11.40,"лек. ФИЛОСОФИЯ
проф. Дудникова Е. Б. ауд. 503 УК № 2"
,,12.00-13.30,"лек. ФИЛОСОФИЯ
проф. Дудникова Е. Б. ауд. 503 УК № 2"
,,13.40-15.10,"лек. ИСТОРИЯ РОССИИ
проф. Шалаева Н.В. 422"
,,15.20-16.50,"лек. ИСТОРИЯ РОССИИ
проф. Шалаева Н.В. 422"
"а
т
р
а
м
7
1","к
и
н
р
о
т
В",8.30-10.00,
,,10.10-11.40,"лек. ПРИКЛАДНАЯ МАТЕМАТИКА
доц. Чумакова С.В. 713"
,,12.00-13.30,"лек. ПРИКЛАДНАЯ МАТЕМАТИКА
доц. Чумакова С.В. 1008"
,,13.40-15.10,"пр.з. . Г
ЕОДЕЗИЯ
доц. Андрющенко В. Ю., Иовлева А.А. ауд. 530, 1008"
,,15.20-16.50,"пр.з. . Г
ЕОДЕЗИЯ
доц. Андрющенко В. Ю., Иовлева А.А. ауд. 530, 1008"
,,17.00-18.30,
"а
т
р
а
м
8
1","а
д
е
р
С",8.30-10.00,
,,10.10-11.40,"лек. ИСТОРИЯ РОССИИ
проф. Шалаева Н.В. 422"
,,12.00-13.30,"лек. ИСТОРИЯ РОССИИ
проф. Шалаева Н.В. 422"
,,13.40-15.10,"лек. ИСТОРИЯ РОССИИ
проф. Шалаева Н.В. 432"
,,15.20-16.50,"лек. ПРИКЛАДНАЯ МАТЕМАТИКА
доц. Чумакова С.В. 602"
,,17.00-18.30,
"а
т
р
а
м
9
1","г
р
е
в
т
е
Ч",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,"пр.з. Ф
ИЛОСОФИЯ
проф. Дудникова Е. Б. ауд. 294"
,,15.20-16.50,"пр.з. Ф
ИЛОСОФИЯ
проф. Дудникова Е. Б. ауд. 294"
,,17:00-18:30,"пр.з. Ф
ИЛОСОФИЯ
проф. Дудникова Е. Б. ауд. 294"
,,18:40-20:10,"лек. ИСТОРИЯ РОССИИ
проф. Шалаева Н.В. 253"
"а
т
р
а
м
0
2","а
ц
и
н
т
я
П",8.30-10.00,
,,10.10-11.40,
,,12.00-13.30,"пр.з. О
СНОВЫ ГРАДОСТРОИТЕЛЬСТВА И НАСЕЛЕННЫХ МЕСТ
ст.пр. Дормидонтова Н.В., Боброва Ю.И. ауд. 1008, 533"
,,13.40-15.10,"пр.з. . Г
ЕОДЕЗИЯ
доц. Андрющенко В. Ю., Иовлева А.А. ауд. 533, 1008"
,,15.20-16.50,"пр.з . П
РИКЛАДНАЯ МАТЕМАТИКА
доц. Чумакова С.В. 533"
,,17:00-18:30,"пр.з . П
РИКЛАДНАЯ МАТЕМАТИКА
доц. Чумакова С.В. 533"
,,18:40-20:10,
"а
т
р
а
м
1
2","а
т
о
б
б
у
С",8.30-10.00,"лек. ИНЖЕНЕРНАЯ ФИЗИКА
доц. Жиздюк А.А. 244 УК № 2"
,,10.10-11.40,"лек. ИНЖЕНЕРНАЯ ФИЗИКА
доц. Жиздюк А.А. 244 УК № 2"
,,12.00-13.30,"пр.з.. И
НЖЕНЕРНАЯ ФИЗИКА
доц. Жиздюк А.А. , Везиров А.О. 244 , 253 УК № 2"
,,13.40-15.10,"пр.з.. И
НЖЕНЕРНАЯ ФИЗИКА
доц. Жиздюк А.А. , Везиров А.О. 244 , 253 УК № 2"
,,,
