"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 2 курс",column_1,column_2
Дни,Часы,Б-ГМ-201 с 26.01.26
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,
,10.10-11.40,
,12.00-13.30,"лек. СОПРОТИВЛЕНИЕ МАТЕРИАЛОВ
доц. Васильчиков В.В.40"
,13.40-15.10,"пр.з. лаб.з сопротивление материалов
Васильчиков В.В. 40"
,15.20-16.50,
,17.00-18.30,
"к
и
н
р
о
т
В",8.30-10.00,лек. СОЦИОЛОГИЯ проф. Дудникова Е.Б. 238
,,лек. ФИЛОСОФИЯ доц. Антипова Е.А. 238
,10.10-11.40,"пр.з. философия
Антипова Е.А. 532"
,12.00-13.30,"лб.з. проектирование мелиоративных и водохозяйственных объектов в специальных компьютерных средах и программах
Прокопец Р.В. 532"
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"а
д
е
р
С",8.30-10.00,"лек. ТЕХНОЛОГИИ ВОЗДЕЛЫВАНИЯ СЕЛЬСКОХОЗЯЙСТВЕННЫХ КУЛЬТУР НА ОРОШАЕМЫХ ЗЕМЛЯХ
доц. Аржанухина Е.В. 532"
,10.10-11.40,лек. ОСНОВЫ ПРИРОДООБУСТРОЙСТВА ТЕРРИТОРИЙ доц. Михеева О.В. 503
,,пр.з. основы природообустройства территорий доц. Михеева О.В. 503
,12.00-13.30,"пр.з. общая физическая подготовка
Шишкина Т.Г. сок"
,13.40-15.10,пр.з. социология Дудникова Е.Б. 407
,,лек. ГЕОГРАФИЧЕСКИЕ ИНФОРМАЦИОННЫЕ СИСТЕМЫ В МЕЛИОРАЦИИ доц. Несветаев М.Ю.525
,15.20-16.50,
,17.00-18.30,
"г
р
е
в
т
е
Ч",8.30-10.00,лб.з. технологии возделывания сельскохозяйственных культур на орошаемых землях Сафин Э.Э. Бабуков И.Х. 532
,,
,10.10-11.40,пр.з. технологии возделывания сельскохозяйственных культур на орошаемых землях Медведев Н.В. Бабуков И.Х. 525
,,
,12.00-13.30,"лек. ГИДРОЛОГИЯ, КЛИМАТОЛОГИЯ И МЕТЕОРОЛОГИЯ
доц. Демакина И.И. 107"
,13.40-15.10,"пр.з. гидрология, климатология и метеорология
Демакина И.И. 533"
,15.20-16.50,
,17.00-18.30,
"а
ц
и
н
т
я
П",8.30-10.00,
,10.10-11.40,
,12.00-13.30,"лек. ОСНОВЫ ИНЖЕНЕРНЫХ ИЗЫСКАНИЙ
доц. Фисенко Б.В. 525"
,13.40-15.10,пр.з. основы инженерных изысканий доц. Фисенко Б.В. 525
,,лб.з. основы инженерных изысканий доц. Фисенко Б.В. 525
,15.20-16.50,лб.з. георгафические информационные системы в мелиорации Несветаев М.Ю. 525
,,
,17.00-18.30,
"а
т
о
б",8.30-10.00,
,10.10-11.40,
"б
у
С",12.00-13.30,
,13.40-15.10,
,,
